Format Version,1.22,Take Name,Walk straight lateral left LJL 2019-04-16 07.55.40 PM_002,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 07.56.16.826 下午,Total Frames in Take,941,Total Exported Frames,941,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,CA180,CA180,CA180,CA560,CA560,CA560,CA570,CA570,CA570,CA6B0,CA6B0,CA6B0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
30,0.25,152.625061,312.383942,17.636545,17.26895,1200.577881,206.083786,-147.640854,331.894287,76.84568,-5.885279,1198.05249,-44.50296,,,,,,,,,,,,,,,,,,,
31,0.258333,152.780487,312.31662,17.392315,17.637897,1200.622559,206.291153,-147.249649,331.843445,77.049347,-5.452003,1198.031616,-44.379158,,,,,,,,,,,,,,,,,,,
32,0.266667,152.927719,312.252045,17.153175,18.004158,1200.671753,206.495041,-146.87822,331.794098,77.233147,-5.031346,1198.008057,-44.256321,,,,,,,,,,,,,,,,,,,
33,0.275,153.065903,312.18988,16.920717,18.368349,1200.726685,206.694504,-146.527344,331.746429,77.396797,-4.624259,1197.981201,-44.134377,,,,,,,,,,,,,,,,,,,
34,0.283333,153.193878,312.129761,16.696436,18.731157,1200.787109,206.888657,-146.197876,331.70105,77.540237,-4.231567,1197.950928,-44.013416,,,,,,,,,,,,,,,,,,,
35,0.291667,153.310654,312.071625,16.482065,19.09343,1200.852905,207.076706,-145.890686,331.658813,77.663597,-3.853499,1197.916748,-43.893692,,,,,,,,,,,,,,,,,,,
36,0.3,153.415619,312.015594,16.279797,19.456148,1200.923584,207.257965,-145.606979,331.620911,77.767311,-3.489486,1197.878906,-43.775566,,,,,,,,,,,,,,,,,,,
37,0.308333,153.508759,311.962189,16.092278,19.820284,1200.998169,207.431686,-145.347961,331.588379,77.852272,-3.138378,1197.837891,-43.659508,,,,,,,,,,,,,,,,,,,
38,0.316667,153.590469,311.911926,15.922353,20.186596,1201.075439,207.597122,-145.114594,331.562103,77.919937,-2.798836,1197.794556,-43.546097,,,,,,,,,,,,,,,,,,,
39,0.325,153.661606,311.865326,15.772734,20.55546,1201.154053,207.753525,-144.907196,331.54248,77.972359,-2.469587,1197.749878,-43.435982,,,,,,,,,,,,,,,,,,,
40,0.333333,153.723083,311.822388,15.645739,20.92684,1201.2323,207.90036,-144.725082,331.52951,78.012184,-2.149561,1197.705566,-43.329861,,,,,,,,,,,,,,,,,,,
41,0.341667,153.775894,311.782837,15.543097,21.300356,1201.308716,208.037338,-144.566528,331.522888,78.042564,-1.837988,1197.662354,-43.228386,,,,,,,,,,,,,,,,,,,
42,0.35,153.821152,311.746094,15.465881,21.675455,1201.381958,208.16452,-144.42865,331.522095,78.066994,-1.534461,1197.621338,-43.132114,,,,,,,,,,,,,,,,,,,
43,0.358333,153.860123,311.711578,15.414498,22.051601,1201.450562,208.282333,-144.307739,331.526642,78.089104,-1.238961,1197.58313,-43.041424,,,,,,,,,,,,,,,,,,,
44,0.366667,153.894226,311.678864,15.388669,22.42837,1201.513794,208.391464,-144.199493,331.535889,78.112442,-0.951882,1197.547363,-42.95644,,,,,,,,,,,,,,,,,,,
45,0.375,153.924911,311.647675,15.387374,22.805523,1201.571045,208.492752,-144.099426,331.549255,78.140411,-0.673971,1197.513794,-42.877045,,,,,,,,,,,,,,,,,,,
46,0.383333,153.953506,311.618073,15.408865,23.183064,1201.622192,208.587158,-144.00325,331.566132,78.176224,-0.406124,1197.481689,-42.802868,,,,,,,,,,,,,,,,,,,
47,0.391667,153.981125,311.590271,15.450751,23.561285,1201.66748,208.675476,-143.907135,331.585815,78.222916,-0.149099,1197.449951,-42.733295,,,,,,,,,,,,,,,,,,,
48,0.4,154.00856,311.564819,15.510104,23.940722,1201.707275,208.758438,-143.807922,331.607544,78.283348,0.096685,1197.417358,-42.6675,,,,,,,,,,,,,,,,,,,
