Format Version,1.22,Take Name,Walk straight lateral  left ZY  2019-04-17 10.03.35 AM_007,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-17 10.06.09.769 上午,Total Frames in Take,937,Total Exported Frames,937,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3EF0,C3EF0,C3EF0,C3F40,C3F40,C3F40,C4280,C4280,C4280,C4310,C4310,C4310,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
26,0.216667,78.467178,357.858673,250.812881,306.534058,368.945251,111.956856,305.670837,1142.439819,301.799713,180.21199,1100.679688,97.669632,,,,,,,,,,,,,,,,,,,
27,0.225,78.411987,357.847351,250.833206,306.512817,368.963135,111.994377,305.497711,1142.475586,301.858978,180.08223,1100.671631,97.692787,,,,,,,,,,,,,,,,,,,
28,0.233333,78.353569,357.834534,250.85672,306.488831,368.981567,112.03466,305.319427,1142.512451,301.922058,179.939362,1100.666504,97.722702,,,,,,,,,,,,,,,,,,,
29,0.241667,78.29158,357.820251,250.882858,306.462097,369.000519,112.077682,305.136475,1142.549561,301.988586,179.783615,1100.664429,97.759575,,,,,,,,,,,,,,,,,,,
30,0.25,78.22567,357.804474,250.910934,306.432465,369.019958,112.123314,304.949127,1142.585571,302.058319,179.615295,1100.665161,97.80365,,,,,,,,,,,,,,,,,,,
31,0.258333,78.155502,357.787354,250.940323,306.39975,369.039886,112.171326,304.757874,1142.619019,302.131012,179.434784,1100.669067,97.855209,,,,,,,,,,,,,,,,,,,
32,0.266667,78.080727,357.768951,250.970367,306.363922,369.060364,112.221466,304.563049,1142.64856,302.206543,179.242554,1100.675781,97.914543,,,,,,,,,,,,,,,,,,,
33,0.275,78.001022,357.74942,251.000458,306.324768,369.081421,112.273453,304.365051,1142.672852,302.285034,179.039032,1100.685791,97.981956,,,,,,,,,,,,,,,,,,,
34,0.283333,77.91613,357.728882,251.03009,306.282227,369.103058,112.327072,304.164185,1142.691406,302.366699,178.824692,1100.699341,98.05777,,,,,,,,,,,,,,,,,,,
35,0.291667,77.825821,357.707153,251.058823,306.236206,369.125244,112.382126,303.960541,1142.703003,302.451904,178.59993,1100.716309,98.142334,,,,,,,,,,,,,,,,,,,
