Format Version,1.22,Take Name,Turn left 90 RHG 2019-04-15 07.37.09 PM_003,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 07.38.20.454 下午,Total Frames in Take,670,Total Exported Frames,670,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C8370,C8370,C8370,C8380,C8380,C8380,C83F0,C83F0,C83F0,C8440,C8440,C8440,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
23,0.191667,-1001.919006,357.29245,1287.470947,-1310.490479,337.767151,1322.083984,-1158.335938,1291.108765,1499.491699,-1166.20166,1297.791626,1260.931274,,,,,,,,,,,,,,,,,,,
24,0.2,-1001.919128,357.269226,1287.380371,-1310.526001,337.756042,1322.037842,-1158.321289,1291.097778,1499.310913,-1166.170532,1297.699951,1260.771851,,,,,,,,,,,,,,,,,,,
25,0.208333,-1001.9151,357.24295,1287.297119,-1310.566406,337.742218,1321.98645,-1158.306641,1291.082153,1499.125732,-1166.134644,1297.608643,1260.6073,,,,,,,,,,,,,,,,,,,
26,0.216667,-1001.906738,357.213531,1287.221191,-1310.61145,337.725739,1321.92981,-1158.292725,1291.062134,1498.935547,-1166.095947,1297.518555,1260.43689,,,,,,,,,,,,,,,,,,,
27,0.225,-1001.894104,357.180908,1287.152588,-1310.660767,337.706787,1321.867676,-1158.280762,1291.038208,1498.740601,-1166.055664,1297.430908,1260.260864,,,,,,,,,,,,,,,,,,,
28,0.233333,-1001.877075,357.145142,1287.090942,-1310.713501,337.685638,1321.800415,-1158.270996,1291.010986,1498.540894,-1166.014771,1297.345947,1260.079346,,,,,,,,,,,,,,,,,,,
29,0.241667,-1001.855835,357.106415,1287.0354,-1310.768921,337.662628,1321.727905,-1158.26416,1290.981201,1498.337036,-1165.973511,1297.264038,1259.893433,,,,,,,,,,,,,,,,,,,
30,0.25,-1001.830444,357.065063,1286.984985,-1310.825928,337.638184,1321.650269,-1158.260986,1290.949707,1498.129517,-1165.931763,1297.185181,1259.703369,,,,,,,,,,,,,,,,,,,
31,0.258333,-1001.801147,357.021393,1286.939209,-1310.883301,337.61264,1321.567505,-1158.261597,1290.917358,1497.918701,-1165.889282,1297.109497,1259.510254,,,,,,,,,,,,,,,,,,,
32,0.266667,-1001.768372,356.976044,1286.896729,-1310.939697,337.586273,1321.479858,-1158.266479,1290.885132,1497.705444,-1165.845215,1297.036743,1259.314331,,,,,,,,,,,,,,,,,,,
33,0.275,-1001.732239,356.929535,1286.856567,-1310.993774,337.559265,1321.387817,-1158.276001,1290.853271,1497.48999,-1165.799438,1296.967407,1259.116089,,,,,,,,,,,,,,,,,,,
34,0.283333,-1001.693604,356.882568,1286.817261,-1311.044556,337.531464,1321.291504,-1158.290161,1290.822632,1497.273315,-1165.75061,1296.901245,1258.916382,,,,,,,,,,,,,,,,,,,
35,0.291667,-1001.65271,356.835632,1286.778076,-1311.091187,337.502625,1321.191895,-1158.30896,1290.793457,1497.055664,-1165.698364,1296.838501,1258.715942,,,,,,,,,,,,,,,,,,,
36,0.3,-1001.610291,356.789124,1286.737915,-1311.132935,337.472412,1321.089844,-1158.332153,1290.765503,1496.838013,-1165.641724,1296.778931,1258.515625,,,,,,,,,,,,,,,,,,,
37,0.308333,-1001.56665,356.743134,1286.695679,-1311.169556,337.440613,1320.98645,-1158.359253,1290.73877,1496.620972,-1165.579224,1296.722412,1258.316406,,,,,,,,,,,,,,,,,,,
38,0.316667,-1001.522278,356.697601,1286.651123,-1311.200684,337.407104,1320.883057,-1158.389771,1290.712769,1496.405518,-1165.509888,1296.668701,1258.119141,,,,,,,,,,,,,,,,,,,
39,0.325,-1001.4776,356.652374,1286.60376,-1311.226807,337.371887,1320.780884,-1158.423218,1290.686646,1496.192017,-1165.433228,1296.617554,1257.924561,,,,,,,,,,,,,,,,,,,
40,0.333333,-1001.432922,356.607178,1286.553711,-1311.248047,337.335052,1320.681152,-1158.458862,1290.659668,1495.980713,-1165.348389,1296.569092,1257.733154,,,,,,,,,,,,,,,,,,,
41,0.341667,-1001.388306,356.561707,1286.501099,-1311.264893,337.296692,1320.584961,-1158.49585,1290.631104,1495.772217,-1165.255615,1296.523682,1257.544922,,,,,,,,,,,,,,,,,,,
42,0.35,-1001.344299,356.515869,1286.445923,-1311.277832,337.256927,1320.49353,-1158.533447,1290.600586,1495.566895,-1165.155273,1296.481567,1257.359741,,,,,,,,,,,,,,,,,,,
43,0.358333,-1001.301025,356.469666,1286.38855,-1311.28772,337.216034,1320.407715,-1158.570557,1290.567749,1495.36499,-1165.047852,1296.443359,1257.177979,,,,,,,,,,,,,,,,,,,
44,0.366667,-1001.25885,356.423065,1286.328613,-1311.29541,337.174255,1320.327881,-1158.606079,1290.532959,1495.166992,-1164.934448,1296.40918,1256.99939,,,,,,,,,,,,,,,,,,,
45,0.375,-1001.218079,356.376221,1286.266479,-1311.301392,337.131927,1320.254028,-1158.638916,1290.496094,1494.973022,-1164.815918,1296.37915,1256.824097,,,,,,,,,,,,,,,,,,,
46,0.383333,-1001.17865,356.329224,1286.201782,-1311.306152,337.089233,1320.186523,-1158.667969,1290.458008,1494.783203,-1164.693115,1296.353271,1256.652344,,,,,,,,,,,,,,,,,,,
47,0.391667,-1001.140503,356.282288,1286.134766,-1311.309937,337.046417,1320.125,-1158.692017,1290.419067,1494.597656,-1164.566772,1296.331177,1256.484131,,,,,,,,,,,,,,,,,,,
48,0.4,-1001.103394,356.235474,1286.065308,-1311.312988,337.003601,1320.069458,-1158.710205,1290.380371,1494.417114,-1164.437256,1296.312256,1256.32019,,,,,,,,,,,,,,,,,,,
49,0.408333,-1001.067139,356.188812,1285.993896,-1311.315186,336.960907,1320.02002,-1158.72168,1290.342651,1494.241699,-1164.304932,1296.295532,1256.161743,,,,,,,,,,,,,,,,,,,
50,0.416667,-1001.031494,356.142365,1285.921021,-1311.316284,336.918518,1319.976563,-1158.725708,1290.307007,1494.072632,-1164.1698,1296.279541,1256.009888,,,,,,,,,,,,,,,,,,,
51,0.425,-1000.99585,356.096161,1285.847046,-1311.316406,336.876495,1319.938843,-1158.722168,1290.274414,1493.910278,-1164.032104,1296.262817,1255.866943,,,,,,,,,,,,,,,,,,,
52,0.433333,-1000.959778,356.05011,1285.772949,-1311.315308,336.834869,1319.906982,-1158.710571,1290.245483,1493.755615,-1163.892578,1296.244507,1255.734009,,,,,,,,,,,,,,,,,,,
53,0.441667,-1000.922913,356.004333,1285.699219,-1311.312744,336.793823,1319.880249,-1158.691162,1290.220825,1493.608521,-1163.75293,1296.224121,1255.612061,,,,,,,,,,,,,,,,,,,
54,0.45,-1000.88501,355.958954,1285.626831,-1311.308716,336.753418,1319.859009,-1158.663696,1290.201172,1493.469482,-1163.615112,1296.202393,1255.500732,,,,,,,,,,,,,,,,,,,
55,0.458333,-1000.845459,355.914307,1285.556274,-1311.302734,336.713989,1319.843018,-1158.62854,1290.186646,1493.338623,-1163.481812,1296.180542,1255.399048,,,,,,,,,,,,,,,,,,,
56,0.466667,-1000.804321,355.870697,1285.488037,-1311.294678,336.67572,1319.832275,-1158.585815,1290.177368,1493.215576,-1163.355469,1296.159912,1255.305664,,,,,,,,,,,,,,,,,,,
57,0.475,-1000.761536,355.828583,1285.421875,-1311.284058,336.639069,1319.826904,-1158.535889,1290.173218,1493.10022,-1163.238037,1296.141357,1255.219116,,,,,,,,,,,,,,,,,,,
58,0.483333,-1000.717285,355.788361,1285.357788,-1311.270752,336.604492,1319.826782,-1158.479004,1290.173828,1492.992065,-1163.130859,1296.125977,1255.138184,,,,,,,,,,,,,,,,,,,
59,0.491667,-1000.672241,355.750397,1285.29541,-1311.254517,336.57251,1319.831665,-1158.416016,1290.179077,1492.890747,-1163.03479,1296.113647,1255.062134,,,,,,,,,,,,,,,,,,,
60,0.5,-1000.626892,355.714935,1285.233643,-1311.235352,336.543396,1319.840942,-1158.347534,1290.188232,1492.795776,-1162.950073,1296.104004,1254.990234,,,,,,,,,,,,,,,,,,,
61,0.508333,-1000.582092,355.682098,1285.172119,-1311.213257,336.517303,1319.85437,-1158.27417,1290.200195,1492.706909,-1162.876343,1296.096558,1254.922363,,,,,,,,,,,,,,,,,,,
62,0.516667,-1000.538574,355.651886,1285.109985,-1311.188354,336.494141,1319.871582,-1158.196533,1290.2146,1492.623535,-1162.813232,1296.09082,1254.858398,,,,,,,,,,,,,,,,,,,
63,0.525,-1000.496887,355.624146,1285.046875,-1311.160889,336.473633,1319.891968,-1158.115601,1290.230347,1492.545654,-1162.759521,1296.08606,1254.79834,,,,,,,,,,,,,,,,,,,
