Format Version,1.22,Take Name,Turn left 90  LJL 2019-04-16 07.59.36 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 08.00.16.955 下午,Total Frames in Take,859,Total Exported Frames,859,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,Trunk Front,Trunk Front,Trunk Front,,,,,,,,,,,,,,,,,,,
,,C3500,C3500,C3500,C3540,C3540,C3540,C36D0,C36D0,C36D0,C36F0,C36F0,C36F0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
23,0.191667,-971.443848,313.543671,1515.111572,-1287.824341,330.703979,1534.706421,-1123.774414,1201.236572,1426.440552,-1129.627075,1195.798218,1679.067383,,,,,,,,,,,,,,,,,,,
24,0.2,-971.467712,313.552124,1515.11377,-1287.88147,330.68512,1534.758301,-1123.956299,1201.220703,1426.454346,-1129.741089,1195.790039,1679.074097,,,,,,,,,,,,,,,,,,,
25,0.208333,-971.489807,313.56015,1515.115356,-1287.938354,330.666962,1534.807617,-1124.137939,1201.205322,1426.470703,-1129.854004,1195.78125,1679.083984,,,,,,,,,,,,,,,,,,,
26,0.216667,-971.510254,313.567902,1515.116089,-1287.994751,330.649567,1534.854126,-1124.318848,1201.190918,1426.490112,-1129.964966,1195.771729,1679.097412,,,,,,,,,,,,,,,,,,,
27,0.225,-971.529236,313.575439,1515.115601,-1288.050049,330.632996,1534.897949,-1124.499146,1201.177856,1426.511963,-1130.07312,1195.761475,1679.114624,,,,,,,,,,,,,,,,,,,
28,0.233333,-971.546997,313.582825,1515.113403,-1288.103882,330.61731,1534.939087,-1124.678955,1201.166382,1426.536743,-1130.177856,1195.750366,1679.135498,,,,,,,,,,,,,,,,,,,
29,0.241667,-971.563843,313.590271,1515.109253,-1288.155762,330.602661,1534.977417,-1124.858032,1201.157104,1426.564087,-1130.278687,1195.738525,1679.160034,,,,,,,,,,,,,,,,,,,
30,0.25,-971.579956,313.597931,1515.103149,-1288.205444,330.589172,1535.013062,-1125.036377,1201.14978,1426.594116,-1130.375366,1195.72583,1679.188354,,,,,,,,,,,,,,,,,,,
31,0.258333,-971.595825,313.606049,1515.094849,-1288.252319,330.576935,1535.046143,-1125.214111,1201.144775,1426.626587,-1130.467651,1195.712402,1679.220215,,,,,,,,,,,,,,,,,,,
32,0.266667,-971.611572,313.614899,1515.084717,-1288.296021,330.565918,1535.076416,-1125.391113,1201.141968,1426.661499,-1130.555542,1195.698242,1679.255615,,,,,,,,,,,,,,,,,,,
33,0.275,-971.627563,313.624634,1515.07312,-1288.33606,330.556061,1535.103638,-1125.567627,1201.141235,1426.698486,-1130.639038,1195.683472,1679.294189,,,,,,,,,,,,,,,,,,,
34,0.283333,-971.643982,313.635254,1515.060425,-1288.372314,330.547119,1535.128052,-1125.743652,1201.1427,1426.737305,-1130.71875,1195.667969,1679.33606,,,,,,,,,,,,,,,,,,,
35,0.291667,-971.660889,313.64679,1515.047485,-1288.404297,330.53894,1535.149414,-1125.919312,1201.146118,1426.777954,-1130.794434,1195.651855,1679.380371,,,,,,,,,,,,,,,,,,,
36,0.3,-971.678467,313.659149,1515.03479,-1288.432251,330.531281,1535.168091,-1126.094727,1201.151733,1426.82019,-1130.866699,1195.635376,1679.427124,,,,,,,,,,,,,,,,,,,
37,0.308333,-971.696777,313.672272,1515.022827,-1288.456177,330.523987,1535.184448,-1126.269531,1201.159302,1426.863403,-1130.935791,1195.61792,1679.475464,,,,,,,,,,,,,,,,,,,
