Format Version,1.22,Take Name,Turn right  90   HJ 2019-04-12 04.00.40 PM_040,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-12 04.36.25.344 下午,Total Frames in Take,626,Total Exported Frames,626,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3BD0,C3BD0,C3BD0,C3BF0,C3BF0,C3BF0,C3C00,C3C00,C3C00,C4320,C4320,C4320,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
24,0.2,1088.646606,356.453766,1342.32666,1250.113647,1311.577881,1510.342163,1407.1427,357.773529,1356.03479,1279.219238,1291.825195,1239.610718,,,,,,,,,,,,,,,,,,,
25,0.208333,1088.696289,356.462006,1342.43811,1250.311279,1311.582153,1510.248901,1407.300171,357.720245,1356.037598,1279.382935,1291.823364,1239.527344,,,,,,,,,,,,,,,,,,,
26,0.216667,1088.740967,356.468811,1342.547119,1250.509155,1311.582642,1510.161987,1407.466553,357.664185,1356.034546,1279.540039,1291.825195,1239.450928,,,,,,,,,,,,,,,,,,,
27,0.225,1088.780029,356.47406,1342.654175,1250.706909,1311.579346,1510.081909,1407.641357,357.605438,1356.02478,1279.690552,1291.830688,1239.381592,,,,,,,,,,,,,,,,,,,
28,0.233333,1088.813232,356.477661,1342.759888,1250.903931,1311.572021,1510.008911,1407.824219,357.544128,1356.007324,1279.833984,1291.8396,1239.319458,,,,,,,,,,,,,,,,,,,
29,0.241667,1088.839355,356.479462,1342.864502,1251.099854,1311.561035,1509.943481,1408.013672,357.48053,1355.981567,1279.970459,1291.852295,1239.264893,,,,,,,,,,,,,,,,,,,
30,0.25,1088.858643,356.479401,1342.968872,1251.294189,1311.545898,1509.885742,1408.208862,357.414978,1355.946533,1280.099365,1291.868286,1239.218018,,,,,,,,,,,,,,,,,,,
31,0.258333,1088.870239,356.477356,1343.073364,1251.486328,1311.526489,1509.836426,1408.408203,357.348053,1355.901123,1280.220337,1291.887939,1239.179077,,,,,,,,,,,,,,,,,,,
32,0.266667,1088.874146,356.473206,1343.178955,1251.676025,1311.503296,1509.79541,1408.609619,357.280273,1355.84436,1280.332886,1291.911255,1239.148438,,,,,,,,,,,,,,,,,,,
33,0.275,1088.869873,356.466919,1343.286011,1251.863037,1311.475586,1509.763062,1408.811646,357.212402,1355.775391,1280.436523,1291.937988,1239.125854,,,,,,,,,,,,,,,,,,,
