Format Version,1.22,Take Name,Turn left 180  LJL 2019-04-16 08.02.25 PM_004,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 08.03.33.621 下午,Total Frames in Take,961,Total Exported Frames,961,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3700,C3700,C3700,C3800,C3800,C3800,C3820,C3820,C3820,C3840,C3840,C3840,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
23,0.191667,-1177.796265,1196.39978,1676.251465,-1027.666138,310.596924,1508.530762,-1329.858276,331.541931,1519.861084,-1156.490845,1200.483032,1425.729004,,,,,,,,,,,,,,,,,,,
24,0.2,-1177.779663,1196.390137,1676.315552,-1027.67688,310.606903,1508.549683,-1329.825684,331.540039,1519.959961,-1156.679077,1200.52356,1425.726196,,,,,,,,,,,,,,,,,,,
25,0.208333,-1177.759521,1196.378906,1676.373169,-1027.687866,310.616974,1508.561401,-1329.790771,331.540344,1520.064087,-1156.862427,1200.565552,1425.721558,,,,,,,,,,,,,,,,,,,
26,0.216667,-1177.735596,1196.365723,1676.423828,-1027.699219,310.626892,1508.56543,-1329.754028,331.542908,1520.172607,-1157.041016,1200.608643,1425.715698,,,,,,,,,,,,,,,,,,,
27,0.225,-1177.707397,1196.35022,1676.467529,-1027.710938,310.636536,1508.561768,-1329.714722,331.54776,1520.283936,-1157.215576,1200.652588,1425.70874,,,,,,,,,,,,,,,,,,,
28,0.233333,-1177.675171,1196.332153,1676.504761,-1027.722778,310.645599,1508.550415,-1329.67334,331.554962,1520.396851,-1157.386353,1200.697144,1425.700806,,,,,,,,,,,,,,,,,,,
29,0.241667,-1177.63855,1196.311279,1676.536011,-1027.734985,310.653931,1508.531616,-1329.62915,331.564423,1520.51001,-1157.553955,1200.742065,1425.692139,,,,,,,,,,,,,,,,,,,
30,0.25,-1177.597778,1196.287476,1676.562256,-1027.747314,310.661255,1508.505493,-1329.582397,331.576263,1520.622314,-1157.718872,1200.787354,1425.682373,,,,,,,,,,,,,,,,,,,
31,0.258333,-1177.552856,1196.261108,1676.584351,-1027.759277,310.667511,1508.472412,-1329.533081,331.590424,1520.732544,-1157.882202,1200.832642,1425.671875,,,,,,,,,,,,,,,,,,,
32,0.266667,-1177.504028,1196.232178,1676.603394,-1027.771362,310.672607,1508.432739,-1329.480957,331.606934,1520.839966,-1158.044434,1200.878174,1425.660522,,,,,,,,,,,,,,,,,,,
33,0.275,-1177.452026,1196.20105,1676.620239,-1027.783203,310.676453,1508.386597,-1329.42627,331.625641,1520.943726,-1158.206787,1200.923706,1425.648682,,,,,,,,,,,,,,,,,,,
34,0.283333,-1177.396973,1196.168213,1676.635376,-1027.794678,310.679169,1508.334229,-1329.369019,331.646423,1521.043579,-1158.369995,1200.969238,1425.636597,,,,,,,,,,,,,,,,,,,
35,0.291667,-1177.339966,1196.133789,1676.649536,-1027.806274,310.680878,1508.276001,-1329.309448,331.669067,1521.139282,-1158.535156,1201.015015,1425.625244,,,,,,,,,,,,,,,,,,,
