Format Version,1.22,Take Name,walk straight forwar RHG 2019-04-15 07.33.32 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 07.35.00.133 下午,Total Frames in Take,1163,Total Exported Frames,1163,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,Trunk Front,Trunk Front,Trunk Front,,,,,,,,,,,,,,,,,,,
,,C8370,C8370,C8370,C8380,C8380,C8380,C8390,C8390,C8390,C83B0,C83B0,C83B0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
29,0.241667,156.731583,348.594788,-218.728241,-163.304108,332.333496,-191.953384,6.352725,1289.214722,-287.138885,0.597997,1288.162598,-52.248478,,,,,,,,,,,,,,,,,,,
30,0.25,156.741684,348.588226,-218.724564,-163.292313,332.335907,-191.963577,6.44047,1289.200806,-287.193024,0.563561,1288.158691,-52.30859,,,,,,,,,,,,,,,,,,,
31,0.258333,156.750427,348.58197,-218.722046,-163.281235,332.338715,-191.974594,6.532885,1289.188965,-287.245392,0.529238,1288.154541,-52.365494,,,,,,,,,,,,,,,,,,,
32,0.266667,156.757858,348.576111,-218.720428,-163.270905,332.34198,-191.986115,6.629799,1289.17981,-287.296326,0.495779,1288.150513,-52.419529,,,,,,,,,,,,,,,,,,,
33,0.275,156.764114,348.57077,-218.719482,-163.261368,332.345612,-191.997849,6.730807,1289.173462,-287.34613,0.463954,1288.146606,-52.471062,,,,,,,,,,,,,,,,,,,
34,0.283333,156.769379,348.566101,-218.718872,-163.252579,332.349609,-192.009491,6.835408,1289.170166,-287.395203,0.434409,1288.142944,-52.520428,,,,,,,,,,,,,,,,,,,
35,0.291667,156.773819,348.562256,-218.718414,-163.244537,332.35376,-192.020737,6.943099,1289.170044,-287.443878,0.407608,1288.139526,-52.567936,,,,,,,,,,,,,,,,,,,
36,0.3,156.777542,348.559235,-218.718002,-163.237289,332.358002,-192.031128,7.053426,1289.173096,-287.492462,0.383832,1288.136353,-52.613831,,,,,,,,,,,,,,,,,,,
37,0.308333,156.78067,348.557068,-218.717636,-163.230881,332.362152,-192.040161,7.166002,1289.179321,-287.541138,0.36316,1288.133179,-52.658321,,,,,,,,,,,,,,,,,,,
38,0.316667,156.783356,348.555725,-218.717422,-163.225403,332.366028,-192.047241,7.280519,1289.188477,-287.590118,0.345487,1288.129517,-52.701584,,,,,,,,,,,,,,,,,,,
