Format Version,1.22,Take Name,Turn left 180 ZY 2019-04-17 10.19.24 AM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-17 10.19.28.994 上午,Total Frames in Take,1221,Total Exported Frames,1221,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C4E50,C4E50,C4E50,C4EA0,C4EA0,C4EA0,C4EB0,C4EB0,C4EB0,C4F30,C4F30,C4F30,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
23,0.191667,-1022.632568,364.43512,1578.718994,-1144.588501,1144.897827,1733.305176,-1289.678589,355.006561,1578.534424,-1151.107544,1113.198486,1491.460449,,,,,,,,,,,,,,,,,,,
24,0.2,-1022.625427,364.436005,1578.736816,-1144.590576,1144.889893,1733.348633,-1289.675049,355.010193,1578.527954,-1151.076172,1113.203125,1491.504761,,,,,,,,,,,,,,,,,,,
25,0.208333,-1022.621155,364.437561,1578.751953,-1144.592529,1144.881714,1733.391113,-1289.671509,355.013214,1578.521851,-1151.044922,1113.207275,1491.54895,,,,,,,,,,,,,,,,,,,
26,0.216667,-1022.618774,364.439301,1578.764893,-1144.594116,1144.873535,1733.432861,-1289.668335,355.015686,1578.516602,-1151.014038,1113.210815,1491.592651,,,,,,,,,,,,,,,,,,,
27,0.225,-1022.617554,364.440857,1578.776245,-1144.595337,1144.865234,1733.473999,-1289.665283,355.0177,1578.512451,-1150.983643,1113.213867,1491.636108,,,,,,,,,,,,,,,,,,,
28,0.233333,-1022.617249,364.442108,1578.786133,-1144.596191,1144.856689,1733.514648,-1289.662354,355.019287,1578.509155,-1150.953857,1113.216797,1491.679443,,,,,,,,,,,,,,,,,,,
29,0.241667,-1022.617554,364.443054,1578.794556,-1144.596558,1144.848145,1733.55481,-1289.659668,355.02063,1578.507202,-1150.924683,1113.219238,1491.722168,,,,,,,,,,,,,,,,,,,
30,0.25,-1022.61853,364.443817,1578.801514,-1144.596313,1144.839233,1733.594727,-1289.657104,355.021759,1578.506104,-1150.896118,1113.22168,1491.764771,,,,,,,,,,,,,,,,,,,
31,0.258333,-1022.620056,364.444458,1578.806885,-1144.595459,1144.830322,1733.634521,-1289.654785,355.022644,1578.505981,-1150.868164,1113.223755,1491.806885,,,,,,,,,,,,,,,,,,,
32,0.266667,-1022.622437,364.44519,1578.810547,-1144.593994,1144.821411,1733.674072,-1289.652466,355.023315,1578.506836,-1150.84082,1113.226074,1491.848511,,,,,,,,,,,,,,,,,,,
33,0.275,-1022.625671,364.446106,1578.8125,-1144.591675,1144.812622,1733.713257,-1289.650391,355.023895,1578.508423,-1150.813965,1113.228149,1491.889771,,,,,,,,,,,,,,,,,,,
34,0.283333,-1022.629395,364.447083,1578.812988,-1144.588623,1144.803589,1733.752075,-1289.64856,355.024323,1578.51062,-1150.787476,1113.230347,1491.930542,,,,,,,,,,,,,,,,,,,
35,0.291667,-1022.632568,364.447906,1578.812744,-1144.584717,1144.794678,1733.790527,-1289.646606,355.024597,1578.513794,-1150.761475,1113.2323,1491.970703,,,,,,,,,,,,,,,,,,,
36,0.3,-1022.634521,364.448273,1578.812378,-1144.579712,1144.785767,1733.828247,-1289.644897,355.02478,1578.517456,-1150.73584,1113.234009,1492.010376,,,,,,,,,,,,,,,,,,,
37,0.308333,-1022.634521,364.447937,1578.8125,-1144.573975,1144.776733,1733.865234,-1289.643066,355.024811,1578.521851,-1150.710693,1113.235596,1492.049438,,,,,,,,,,,,,,,,,,,
38,0.316667,-1022.632385,364.446808,1578.813232,-1144.567139,1144.767456,1733.901245,-1289.641357,355.02478,1578.526855,-1150.686035,1113.236938,1492.087891,,,,,,,,,,,,,,,,,,,
39,0.325,-1022.628174,364.444855,1578.814575,-1144.559448,1144.757813,1733.936035,-1289.639893,355.024689,1578.532227,-1150.662109,1113.237915,1492.125244,,,,,,,,,,,,,,,,,,,
40,0.333333,-1022.622253,364.4422,1578.816528,-1144.550903,1144.748047,1733.969849,-1289.638794,355.024567,1578.53833,-1150.638794,1113.238647,1492.161865,,,,,,,,,,,,,,,,,,,
41,0.341667,-1022.614807,364.439178,1578.81897,-1144.541382,1144.738037,1734.002075,-1289.637695,355.024384,1578.544678,-1150.616455,1113.239014,1492.197388,,,,,,,,,,,,,,,,,,,
42,0.35,-1022.60675,364.436218,1578.821045,-1144.530884,1144.727905,1734.033203,-1289.636719,355.024078,1578.551392,-1150.594849,1113.239136,1492.231934,,,,,,,,,,,,,,,,,,,
43,0.358333,-1022.598511,364.433594,1578.822632,-1144.519287,1144.717651,1734.062866,-1289.635864,355.02359,1578.558594,-1150.574219,1113.238892,1492.265503,,,,,,,,,,,,,,,,,,,
44,0.366667,-1022.590271,364.431274,1578.82373,-1144.506714,1144.70752,1734.091187,-1289.635254,355.022919,1578.565918,-1150.554688,1113.238159,1492.297852,,,,,,,,,,,,,,,,,,,
45,0.375,-1022.582031,364.429199,1578.824219,-1144.493164,1144.697266,1734.118164,-1289.634766,355.021942,1578.573486,-1150.535889,1113.237427,1492.329102,,,,,,,,,,,,,,,,,,,
46,0.383333,-1022.574097,364.427521,1578.82373,-1144.478516,1144.687256,1734.143555,-1289.634277,355.020844,1578.581055,-1150.518311,1113.236084,1492.359375,,,,,,,,,,,,,,,,,,,
47,0.391667,-1022.566772,364.426239,1578.821899,-1144.462891,1144.677246,1734.167725,-1289.633911,355.019592,1578.588867,-1150.501587,1113.234375,1492.38855,,,,,,,,,,,,,,,,,,,
48,0.4,-1022.559998,364.425201,1578.81897,-1144.446289,1144.667236,1734.190308,-1289.633789,355.01828,1578.596558,-1150.48584,1113.2323,1492.41687,,,,,,,,,,,,,,,,,,,
49,0.408333,-1022.553711,364.424316,1578.814819,-1144.428467,1144.657349,1734.21167,-1289.633789,355.017029,1578.604492,-1150.471191,1113.229858,1492.444092,,,,,,,,,,,,,,,,,,,
50,0.416667,-1022.547729,364.423218,1578.809692,-1144.409546,1144.647339,1734.231812,-1289.633911,355.015839,1578.612183,-1150.45752,1113.227295,1492.470337,,,,,,,,,,,,,,,,,,,
51,0.425,-1022.541382,364.421417,1578.804443,-1144.389648,1144.637329,1734.250977,-1289.633911,355.014771,1578.620117,-1150.444824,1113.224243,1492.495728,,,,,,,,,,,,,,,,,,,
52,0.433333,-1022.53363,364.41864,1578.799561,-1144.368652,1144.627319,1734.269287,-1289.634033,355.013763,1578.627808,-1150.433228,1113.221069,1492.520386,,,,,,,,,,,,,,,,,,,
53,0.441667,-1022.523987,364.414551,1578.795898,-1144.346558,1144.617065,1734.286743,-1289.633911,355.012817,1578.63562,-1150.422363,1113.217773,1492.544067,,,,,,,,,,,,,,,,,,,
54,0.45,-1022.512451,364.409332,1578.793701,-1144.323608,1144.606934,1734.303711,-1289.633667,355.011902,1578.643433,-1150.412354,1113.2146,1492.567139,,,,,,,,,,,,,,,,,,,
55,0.458333,-1022.499329,364.40329,1578.792603,-1144.299805,1144.596802,1734.32019,-1289.633301,355.011017,1578.651367,-1150.403198,1113.211548,1492.5896,,,,,,,,,,,,,,,,,,,
56,0.466667,-1022.485229,364.396729,1578.792603,-1144.275024,1144.586792,1734.336548,-1289.63269,355.010071,1578.65979,-1150.394653,1113.208618,1492.61145,,,,,,,,,,,,,,,,,,,
57,0.475,-1022.470581,364.389801,1578.793579,-1144.249512,1144.576782,1734.352539,-1289.631836,355.009094,1578.668579,-1150.386841,1113.206055,1492.632813,,,,,,,,,,,,,,,,,,,
58,0.483333,-1022.455444,364.38266,1578.795288,-1144.223511,1144.566895,1734.368774,-1289.630859,355.008118,1578.678101,-1150.379517,1113.203857,1492.653931,,,,,,,,,,,,,,,,,,,
59,0.491667,-1022.439575,364.375336,1578.79834,-1144.196777,1144.557251,1734.385132,-1289.629883,355.007111,1578.688477,-1150.372803,1113.202271,1492.674805,,,,,,,,,,,,,,,,,,,
