Format Version,1.22,Take Name,walk straight forward ZY 2019-04-17 09.31.11 AM_007,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-17 10.00.21.041 上午,Total Frames in Take,964,Total Exported Frames,964,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,Trunk Back,Trunk Back,Trunk Back,Unlabeled 1198,Unlabeled 1198,Unlabeled 1198,,,,,,,,,,,,,,,,,,,
,,C3EF0,C3EF0,C3EF0,C3F30,C3F30,C3F30,C3F40,C3F40,C3F40,C40B0,C40B0,C40B0,C40D0,C40D0,C40D0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
28,0.233333,-120.772987,359.167603,81.269188,22.224424,1142.211792,258.304077,146.573807,367.281006,105.311264,57.501026,1104.501831,20.586342,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-120.830315,359.249207,81.306839,22.218164,1142.209351,258.556549,146.616348,367.319122,105.392464,57.48135,1104.49353,20.799488,,,,,,,,,,,,,,,,,,,,,,
30,0.25,-120.79705,359.27301,81.317856,22.23354,1142.222046,258.806122,146.62117,367.349152,105.456749,57.429783,1104.516968,21.003708,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,-120.812866,359.290802,81.330414,22.265841,1142.237305,259.054596,146.659531,367.386566,105.54483,57.393372,1104.529175,21.220156,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,-120.85968,359.376953,81.361259,22.277012,1142.273804,259.294617,146.676178,367.446777,105.565025,57.324902,1104.550171,21.433622,,,,,,,,,,,,,,,,,,,,,,
33,0.275,-120.89003,359.406067,81.354523,22.26754,1142.321289,259.501953,146.694992,367.529266,105.593651,57.226971,1104.585205,21.650673,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-120.90477,359.435394,81.348518,22.272112,1142.36377,259.731506,146.704803,367.588013,105.587837,57.143478,1104.633545,21.859274,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,-120.922241,359.479187,81.332741,22.279493,1142.403564,259.931732,146.738785,367.668945,105.622093,57.053635,1104.663574,22.11488,,,,,,,,,,,,,,,,,,,,,,
36,0.3,-120.973083,359.536469,81.327728,22.248577,1142.467773,260.10965,146.273331,366.97525,105.405472,56.983074,1104.708984,22.328251,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,-121.073929,359.608337,81.293137,22.253788,1142.527954,260.337219,146.806107,367.807251,105.689041,56.907475,1104.760132,22.539988,,,,,,,,,,,,,,,,,,,,,,
