Format Version,1.22,Take Name,Turn right 90 2019-04-15 07.41.59 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 07.42.26.780 下午,Total Frames in Take,959,Total Exported Frames,959,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,,,,,,,,,,,,,,,,,,,
,,C85D0,C85D0,C85D0,C85F0,C85F0,C85F0,C8620,C8620,C8620,C8630,C8630,C8630,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
24,0.2,1059.380615,336.033325,1331.689941,1267.921387,1293.635864,1209.517212,1241.239624,1291.662476,1443.828125,1386.78479,345.052155,1290.708496,,,,,,,,,,,,,,,,,,,
25,0.208333,1059.352661,336.082611,1333.374146,1268.467896,1293.653809,1209.663208,1241.860229,1291.512695,1443.998047,1387.036011,344.855377,1290.519775,,,,,,,,,,,,,,,,,,,
26,0.216667,1059.332275,336.12973,1335.055786,1268.984497,1293.674561,1209.815308,1242.419678,1291.359985,1444.172241,1387.268677,344.683777,1290.31604,,,,,,,,,,,,,,,,,,,
27,0.225,1059.325195,336.174744,1336.71582,1269.46521,1293.697388,1209.972534,1242.914063,1291.205444,1444.348999,1387.482422,344.539825,1290.096924,,,,,,,,,,,,,,,,,,,
28,0.233333,1059.337036,336.21698,1338.336914,1269.903564,1293.721191,1210.134155,1243.340576,1291.050537,1444.5271,1387.676147,344.422913,1289.860596,,,,,,,,,,,,,,,,,,,
29,0.241667,1059.372437,336.254822,1339.903809,1270.293213,1293.745117,1210.299194,1243.697876,1290.897217,1444.706177,1387.848267,344.329376,1289.604248,,,,,,,,,,,,,,,,,,,
30,0.25,1059.435303,336.285553,1341.403564,1270.628174,1293.768311,1210.467407,1243.985474,1290.747681,1444.885742,1387.997437,344.253845,1289.324463,,,,,,,,,,,,,,,,,,,
31,0.258333,1059.528564,336.304901,1342.825806,1270.902954,1293.790039,1210.638306,1244.203247,1290.601929,1445.064575,1388.122192,344.191498,1289.020508,,,,,,,,,,,,,,,,,,,
32,0.266667,1059.654419,336.307373,1344.161011,1271.112671,1293.809326,1210.811401,1244.351685,1290.459717,1445.240723,1388.22168,344.139404,1288.693848,,,,,,,,,,,,,,,,,,,
33,0.275,1059.813721,336.286652,1345.401367,1271.253296,1293.825439,1210.986328,1244.432129,1290.320313,1445.412842,1388.295288,344.096191,1288.348755,,,,,,,,,,,,,,,,,,,
34,0.283333,1060.006226,336.236664,1346.539795,1271.321777,1293.837891,1211.163086,1244.447144,1290.184082,1445.580811,1388.343628,344.06131,1287.991211,,,,,,,,,,,,,,,,,,,
35,0.291667,1060.230591,336.15271,1347.570679,1271.315796,1293.846191,1211.341553,1244.400391,1290.052612,1445.745728,1388.366821,344.034851,1287.628662,,,,,,,,,,,,,,,,,,,
36,0.3,1060.483765,336.032532,1348.48999,1271.233643,1293.849854,1211.521851,1244.296143,1289.928101,1445.909424,1388.365845,344.0177,1287.269287,,,,,,,,,,,,,,,,,,,
