Format Version,1.22,Take Name,Walk straight lateral right LJL 2019-04-16 07.49.43 PM_005,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 07.53.56.328 下午,Total Frames in Take,912,Total Exported Frames,912,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,CA180,CA180,CA180,CA560,CA560,CA560,CA570,CA570,CA570,CA580,CA580,CA580,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
30,0.25,158.989441,314.122559,6.439264,3.188675,1200.387329,185.850311,-164.698212,332.068756,45.679661,11.437779,1198.700073,-63.681744,,,,,,,,,,,,,,,,,,,
31,0.258333,158.978104,314.112976,6.396249,3.209703,1200.393921,185.736526,-164.711319,332.067108,45.655132,11.421129,1198.680176,-63.790119,,,,,,,,,,,,,,,,,,,
32,0.266667,158.965881,314.102478,6.349841,3.230422,1200.39978,185.624725,-164.726273,332.065338,45.623466,11.402378,1198.660889,-63.89603,,,,,,,,,,,,,,,,,,,
33,0.275,158.953079,314.09137,6.300352,3.250545,1200.405151,185.514969,-164.742935,332.063599,45.58482,11.381812,1198.642212,-63.999199,,,,,,,,,,,,,,,,,,,
34,0.283333,158.940048,314.079895,6.248263,3.269821,1200.4104,185.407181,-164.761093,332.061768,45.539558,11.359894,1198.624756,-64.09938,,,,,,,,,,,,,,,,,,,
35,0.291667,158.927155,314.068329,6.194195,3.288019,1200.415405,185.301193,-164.780472,332.059906,45.488319,11.337186,1198.608521,-64.196365,,,,,,,,,,,,,,,,,,,
36,0.3,158.914642,314.056885,6.138828,3.304888,1200.420166,185.196915,-164.800735,332.057983,45.432011,11.314251,1198.593994,-64.2901,,,,,,,,,,,,,,,,,,,
37,0.308333,158.902588,314.045776,6.082823,3.320141,1200.424805,185.09436,-164.821609,332.056,45.371796,11.291543,1198.581299,-64.380646,,,,,,,,,,,,,,,,,,,
38,0.316667,158.890961,314.035034,6.026782,3.33348,1200.429199,184.993637,-164.842804,332.053955,45.309002,11.26939,1198.570801,-64.468178,,,,,,,,,,,,,,,,,,,
39,0.325,158.879684,314.024628,5.971247,3.344644,1200.433594,184.894897,-164.863983,332.051758,45.245037,11.248023,1198.562622,-64.552956,,,,,,,,,,,,,,,,,,,
