Format Version,1.22,Take Name,Turn left 90  LJL 2019-04-16 07.59.36 PM_003,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 08.01.14.397 下午,Total Frames in Take,860,Total Exported Frames,860,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3500,C3500,C3500,C3540,C3540,C3540,C36F0,C36F0,C36F0,C37A0,C37A0,C37A0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
0,0,-987.031433,313.510406,1520.790527,-1295.605225,332.378113,1559.627686,-1126.312988,1194.175659,1749.420532,-1126.002319,1227.545654,1493.559448,,,,,,,,,,,,,,,,,,,
1,0.008333,-987.005066,313.451569,1520.971191,-1295.754272,332.313629,1559.509766,-1126.233398,1194.136963,1749.397217,-1126.804688,1227.324585,1493.354614,,,,,,,,,,,,,,,,,,,
2,0.016667,-986.980225,313.394714,1521.153442,-1295.900391,332.250061,1559.400146,-1126.156982,1194.099609,1749.373291,-1127.609131,1227.108887,1493.148315,,,,,,,,,,,,,,,,,,,
3,0.025,-986.958252,313.341888,1521.338135,-1296.040527,332.188416,1559.306885,-1126.086426,1194.064575,1749.348267,-1128.416138,1226.901245,1492.94104,,,,,,,,,,,,,,,,,,,
4,0.033333,-986.940552,313.295013,1521.525269,-1296.172485,332.129791,1559.236328,-1126.02478,1194.033325,1749.321167,-1129.223022,1226.699707,1492.737061,,,,,,,,,,,,,,,,,,,
5,0.041667,-986.928284,313.255707,1521.713501,-1296.294312,332.075043,1559.193481,-1125.973389,1194.006226,1749.290649,-1130.021851,1226.494995,1492.545532,,,,,,,,,,,,,,,,,,,
6,0.05,-986.922363,313.225372,1521.900879,-1296.404663,332.024933,1559.181763,-1125.933716,1193.984253,1749.254761,-1130.802856,1226.275757,1492.376343,,,,,,,,,,,,,,,,,,,
7,0.058333,-986.923706,313.204834,1522.085571,-1296.502563,331.979858,1559.202271,-1125.90686,1193.967651,1749.211548,-1131.561523,1226.037109,1492.233276,,,,,,,,,,,,,,,,,,,
8,0.066667,-986.9328,313.194305,1522.265747,-1296.587891,331.940002,1559.253906,-1125.8927,1193.956299,1749.159058,-1132.299561,1225.783203,1492.111328,,,,,,,,,,,,,,,,,,,
9,0.075,-986.949951,313.193451,1522.440063,-1296.660889,331.905121,1559.33374,-1125.891724,1193.949829,1749.095947,-1133.019775,1225.520508,1492.003906,,,,,,,,,,,,,,,,,,,
10,0.083333,-986.975342,313.201263,1522.607666,-1296.72229,331.874786,1559.437622,-1125.903564,1193.94812,1749.02063,-1133.720581,1225.250732,1491.907471,,,,,,,,,,,,,,,,,,,
11,0.091667,-987.008484,313.216522,1522.768555,-1296.773438,331.848389,1559.560669,-1125.928833,1193.950928,1748.932129,-1134.398438,1224.973511,1491.820923,,,,,,,,,,,,,,,,,,,
12,0.1,-987.049072,313.237823,1522.922363,-1296.81604,331.825104,1559.69751,-1125.967407,1193.95752,1748.829712,-1135.049805,1224.690186,1491.741821,,,,,,,,,,,,,,,,,,,
13,0.108333,-987.095703,313.263733,1523.06958,-1296.851685,331.804169,1559.84375,-1126.019775,1193.967896,1748.713013,-1135.672363,1224.40332,1491.666138,,,,,,,,,,,,,,,,,,,
14,0.116667,-987.147034,313.29306,1523.210571,-1296.882446,331.784668,1559.995361,-1126.086426,1193.982056,1748.582031,-1136.263916,1224.115845,1491.59021,,,,,,,,,,,,,,,,,,,
15,0.125,-987.200928,313.324768,1523.345337,-1296.910278,331.765778,1560.149292,-1126.168579,1193.999512,1748.437012,-1136.822998,1223.830444,1491.510864,,,,,,,,,,,,,,,,,,,
16,0.133333,-987.255432,313.358063,1523.474121,-1296.937134,331.746857,1560.303589,-1126.267334,1194.020996,1748.278809,-1137.348022,1223.549927,1491.424927,,,,,,,,,,,,,,,,,,,
17,0.141667,-987.308411,313.392242,1523.597534,-1296.964111,331.72757,1560.456665,-1126.384033,1194.046509,1748.108765,-1137.838989,1223.277222,1491.329712,,,,,,,,,,,,,,,,,,,
18,0.15,-987.358032,313.42688,1523.716064,-1296.992432,331.707764,1560.608154,-1126.519653,1194.07666,1747.928101,-1138.296265,1223.014648,1491.223022,,,,,,,,,,,,,,,,,,,
19,0.158333,-987.402832,313.461578,1523.830933,-1297.022705,331.687653,1560.757935,-1126.675659,1194.111694,1747.738525,-1138.720581,1222.763428,1491.103394,,,,,,,,,,,,,,,,,,,
20,0.166667,-987.442017,313.496155,1523.942871,-1297.054932,331.667725,1560.905884,-1126.852173,1194.151978,1747.54126,-1139.112915,1222.523926,1490.971558,,,,,,,,,,,,,,,,,,,
21,0.175,-987.475159,313.530609,1524.052856,-1297.089111,331.64856,1561.052368,-1127.049561,1194.197754,1747.337891,-1139.473877,1222.294922,1490.828613,,,,,,,,,,,,,,,,,,,
22,0.183333,-987.502258,313.565033,1524.162231,-1297.124878,331.630859,1561.197021,-1127.267334,1194.248901,1747.129395,-1139.804077,1222.074463,1490.67688,,,,,,,,,,,,,,,,,,,
23,0.191667,-987.523987,313.599701,1524.271729,-1297.161377,331.615234,1561.34021,-1127.504272,1194.305176,1746.917114,-1140.104614,1221.86084,1490.517822,,,,,,,,,,,,,,,,,,,
24,0.2,-987.541016,313.634766,1524.382446,-1297.197998,331.602112,1561.481201,-1127.758667,1194.366089,1746.701416,-1140.377563,1221.652954,1490.353027,,,,,,,,,,,,,,,,,,,
25,0.208333,-987.554382,313.670227,1524.495361,-1297.233765,331.591888,1561.620239,-1128.028809,1194.430542,1746.48291,-1140.624878,1221.449585,1490.182495,,,,,,,,,,,,,,,,,,,
26,0.216667,-987.564941,313.706085,1524.61145,-1297.267944,331.584564,1561.756836,-1128.313599,1194.497559,1746.261841,-1140.849731,1221.250122,1490.006348,,,,,,,,,,,,,,,,,,,
27,0.225,-987.57373,313.742004,1524.731689,-1297.299561,331.5802,1561.890869,-1128.611206,1194.565308,1746.037964,-1141.054443,1221.053833,1489.823608,,,,,,,,,,,,,,,,,,,
28,0.233333,-987.581726,313.77771,1524.857056,-1297.327515,331.57901,1562.021606,-1128.921021,1194.632324,1745.811035,-1141.240723,1220.859131,1489.633667,,,,,,,,,,,,,,,,,,,
29,0.241667,-987.589661,313.812744,1524.988647,-1297.351318,331.581482,1562.14856,-1129.242188,1194.696777,1745.580322,-1141.40918,1220.664673,1489.435791,,,,,,,,,,,,,,,,,,,
30,0.25,-987.598145,313.846558,1525.126953,-1297.370728,331.587952,1562.270874,-1129.573975,1194.757202,1745.345093,-1141.55957,1220.468628,1489.229614,,,,,,,,,,,,,,,,,,,
31,0.258333,-987.607422,313.878693,1525.272461,-1297.385864,331.597687,1562.386841,-1129.915894,1194.8125,1745.104614,-1141.691406,1220.270142,1489.013794,,,,,,,,,,,,,,,,,,,
32,0.266667,-987.617554,313.90863,1525.425415,-1297.397583,331.608917,1562.494507,-1130.267212,1194.862549,1744.858276,-1141.804443,1220.06897,1488.787476,,,,,,,,,,,,,,,,,,,
33,0.275,-987.628174,313.936127,1525.585449,-1297.407349,331.619904,1562.591919,-1130.627319,1194.907837,1744.605591,-1141.898682,1219.865356,1488.548584,,,,,,,,,,,,,,,,,,,
34,0.283333,-987.638794,313.960907,1525.752197,-1297.41626,331.629608,1562.677368,-1130.994751,1194.948853,1744.346313,-1141.974609,1219.660645,1488.29541,,,,,,,,,,,,,,,,,,,
35,0.291667,-987.648621,313.982971,1525.925049,-1297.425049,331.637512,1562.749878,-1131.368164,1194.987183,1744.080688,-1142.032959,1219.456299,1488.026367,,,,,,,,,,,,,,,,,,,
36,0.3,-987.65686,314.00235,1526.103271,-1297.434326,331.643433,1562.808716,-1131.745361,1195.024536,1743.80896,-1142.074829,1219.254028,1487.741089,,,,,,,,,,,,,,,,,,,
37,0.308333,-987.662659,314.019257,1526.286377,-1297.444702,331.64743,1562.854248,-1132.124023,1195.062256,1743.531738,-1142.101074,1219.055176,1487.439941,,,,,,,,,,,,,,,,,,,
38,0.316667,-987.665527,314.033936,1526.473633,-1297.456421,331.649689,1562.887085,-1132.501709,1195.102295,1743.249634,-1142.112427,1218.860962,1487.124634,,,,,,,,,,,,,,,,,,,
39,0.325,-987.664978,314.046661,1526.664795,-1297.469238,331.650482,1562.908325,-1132.875488,1195.146362,1742.964111,-1142.110107,1218.671875,1486.797485,,,,,,,,,,,,,,,,,,,
40,0.333333,-987.661072,314.057709,1526.859253,-1297.483276,331.65033,1562.919434,-1133.24231,1195.195679,1742.676392,-1142.095581,1218.488403,1486.460938,,,,,,,,,,,,,,,,,,,
41,0.341667,-987.653809,314.067596,1527.057251,-1297.498291,331.64975,1562.921631,-1133.600098,1195.251465,1742.387939,-1142.069946,1218.310547,1486.11853,,,,,,,,,,,,,,,,,,,
42,0.35,-987.643555,314.076813,1527.258911,-1297.514038,331.649445,1562.916748,-1133.946655,1195.314209,1742.099976,-1142.034424,1218.138672,1485.773682,,,,,,,,,,,,,,,,,,,
43,0.358333,-987.630859,314.085968,1527.464233,-1297.530273,331.650146,1562.905762,-1134.280884,1195.384033,1741.813965,-1141.989746,1217.9729,1485.42981,,,,,,,,,,,,,,,,,,,
44,0.366667,-987.616333,314.095673,1527.674438,-1297.546509,331.652313,1562.890137,-1134.602295,1195.460083,1741.531006,-1141.937134,1217.813965,1485.089355,,,,,,,,,,,,,,,,,,,
45,0.375,-987.600647,314.106384,1527.889893,-1297.562378,331.656372,1562.871216,-1134.911133,1195.541138,1741.251953,-1141.87793,1217.662842,1484.753784,,,,,,,,,,,,,,,,,,,
46,0.383333,-987.584412,314.118256,1528.111572,-1297.577393,331.662292,1562.85022,-1135.208374,1195.625122,1740.977905,-1141.813354,1217.519409,1484.423828,,,,,,,,,,,,,,,,,,,
47,0.391667,-987.568298,314.131134,1528.340088,-1297.591309,331.6698,1562.828491,-1135.495117,1195.708984,1740.709229,-1141.744385,1217.38269,1484.100342,,,,,,,,,,,,,,,,,,,
48,0.4,-987.55304,314.144592,1528.576172,-1297.60376,331.678436,1562.807495,-1135.773315,1195.789795,1740.446167,-1141.671265,1217.250488,1483.783081,,,,,,,,,,,,,,,,,,,
49,0.408333,-987.539307,314.157928,1528.819946,-1297.61438,331.687531,1562.788086,-1136.045166,1195.863892,1740.188477,-1141.59375,1217.119751,1483.472168,,,,,,,,,,,,,,,,,,,
50,0.416667,-987.527466,314.170349,1529.071289,-1297.622925,331.69635,1562.771729,-1136.312988,1195.927979,1739.934937,-1141.510864,1216.986816,1483.166626,,,,,,,,,,,,,,,,,,,
51,0.425,-987.51825,314.181152,1529.329956,-1297.629883,331.704315,1562.758911,-1136.578613,1195.979248,1739.684204,-1141.421631,1216.8479,1482.865601,,,,,,,,,,,,,,,,,,,
52,0.433333,-987.512268,314.189758,1529.594971,-1297.634888,331.710815,1562.750488,-1136.843384,1196.015015,1739.434204,-1141.324585,1216.699829,1482.567993,,,,,,,,,,,,,,,,,,,
53,0.441667,-987.510193,314.195831,1529.864624,-1297.63855,331.715515,1562.746582,-1137.108154,1196.033569,1739.182739,-1141.21814,1216.539185,1482.273071,,,,,,,,,,,,,,,,,,,
54,0.45,-987.512451,314.199463,1530.137085,-1297.641113,331.718231,1562.747314,-1137.373169,1196.033691,1738.927124,-1141.100586,1216.362305,1481.980835,,,,,,,,,,,,,,,,,,,
55,0.458333,-987.519653,314.200775,1530.409668,-1297.643311,331.718964,1562.752808,-1137.637817,1196.014893,1738.665161,-1140.969604,1216.166626,1481.691772,,,,,,,,,,,,,,,,,,,
56,0.466667,-987.532166,314.200348,1530.680298,-1297.645508,331.717804,1562.762451,-1137.901001,1195.977783,1738.394287,-1140.823608,1215.949097,1481.407227,,,,,,,,,,,,,,,,,,,
57,0.475,-987.55011,314.19873,1530.946777,-1297.649048,331.715027,1562.776123,-1138.161499,1195.92334,1738.112549,-1140.661255,1215.707764,1481.12854,,,,,,,,,,,,,,,,,,,
58,0.483333,-987.573486,314.196686,1531.207153,-1297.654297,331.710907,1562.792847,-1138.418091,1195.853516,1737.818359,-1140.481934,1215.442383,1480.856812,,,,,,,,,,,,,,,,,,,
59,0.491667,-987.602356,314.194794,1531.460938,-1297.662354,331.705627,1562.812622,-1138.669312,1195.770142,1737.510132,-1140.286011,1215.153687,1480.591919,,,,,,,,,,,,,,,,,,,
60,0.5,-987.636414,314.193604,1531.707153,-1297.674194,331.69928,1562.834473,-1138.914185,1195.675781,1737.186768,-1140.074219,1214.843506,1480.333984,,,,,,,,,,,,,,,,,,,
