Format Version,1.22,Take Name,Turn right 90  LJL  2019-04-16 08.04.11 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 08.04.15.980 下午,Total Frames in Take,932,Total Exported Frames,932,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3700,C3700,C3700,C3800,C3800,C3800,C3820,C3820,C3820,C38A0,C38A0,C38A0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
24,0.2,1251.887695,1198.152954,1652.87793,1392.98999,314.297638,1477.501343,1096.128784,334.921204,1506.192505,1268.146118,1196.783936,1398.733276,,,,,,,,,,,,,,,,,,,
25,0.208333,1251.813599,1198.133911,1652.846924,1392.975098,314.306335,1477.515137,1096.110474,334.909637,1506.164673,1268.128418,1196.771362,1398.735229,,,,,,,,,,,,,,,,,,,
26,0.216667,1251.738159,1198.116455,1652.817139,1392.959839,314.315918,1477.530151,1096.092285,334.898773,1506.137207,1268.110107,1196.76062,1398.737915,,,,,,,,,,,,,,,,,,,
27,0.225,1251.660889,1198.100342,1652.789063,1392.943848,314.32608,1477.545654,1096.074463,334.888,1506.110962,1268.091919,1196.751587,1398.740479,,,,,,,,,,,,,,,,,,,
28,0.233333,1251.581909,1198.08606,1652.762695,1392.927368,314.33725,1477.561523,1096.056885,334.877258,1506.085693,1268.073486,1196.743652,1398.743286,,,,,,,,,,,,,,,,,,,
29,0.241667,1251.501953,1198.073608,1652.736694,1392.910522,314.349365,1477.577148,1096.039185,334.866913,1506.061523,1268.054688,1196.736206,1398.746216,,,,,,,,,,,,,,,,,,,
30,0.25,1251.421631,1198.063232,1652.710327,1392.893311,314.361786,1477.591797,1096.02124,334.856842,1506.038574,1268.036377,1196.729736,1398.749512,,,,,,,,,,,,,,,,,,,
31,0.258333,1251.341064,1198.054688,1652.684326,1392.876221,314.374786,1477.605591,1096.002808,334.846649,1506.016357,1268.018311,1196.724365,1398.753174,,,,,,,,,,,,,,,,,,,
32,0.266667,1251.260132,1198.047729,1652.65979,1392.859375,314.388153,1477.618774,1095.983276,334.835876,1505.994141,1268.000244,1196.71936,1398.757446,,,,,,,,,,,,,,,,,,,
33,0.275,1251.179321,1198.042358,1652.637085,1392.842041,314.400879,1477.631958,1095.963135,334.824493,1505.972046,1267.980957,1196.714233,1398.762817,,,,,,,,,,,,,,,,,,,
