Format Version,1.22,Take Name,Turn left 90 ws 2019-04-15 08.05.32 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 08.05.48.300 下午,Total Frames in Take,740,Total Exported Frames,740,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C90F0,C90F0,C90F0,C9110,C9110,C9110,C9120,C9120,C9120,C9160,C9160,C9160,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
23,0.191667,-1007.848022,324.248932,1567.307739,-1143.284912,1206.625366,1777.928345,-1306.810425,305.100006,1609.683594,-1130.296631,1195.598145,1508.889038,,,,,,,,,,,,,,,,,,,
24,0.2,-1007.852417,324.248138,1567.253906,-1143.316406,1206.626465,1777.784912,-1306.817871,305.089966,1609.685791,-1130.503906,1195.581787,1508.797852,,,,,,,,,,,,,,,,,,,
25,0.208333,-1007.85614,324.247192,1567.19751,-1143.3479,1206.62854,1777.638062,-1306.825439,305.079895,1609.684937,-1130.714355,1195.565918,1508.702637,,,,,,,,,,,,,,,,,,,
26,0.216667,-1007.859009,324.246094,1567.13855,-1143.379395,1206.631714,1777.487061,-1306.833252,305.069794,1609.68103,-1130.928101,1195.550537,1508.603149,,,,,,,,,,,,,,,,,,,
27,0.225,-1007.861389,324.244873,1567.077148,-1143.411255,1206.635498,1777.331055,-1306.841431,305.059631,1609.674072,-1131.145874,1195.535645,1508.499268,,,,,,,,,,,,,,,,,,,
28,0.233333,-1007.863281,324.243378,1567.013672,-1143.443359,1206.640015,1777.169922,-1306.849976,305.049347,1609.664673,-1131.367554,1195.520996,1508.391357,,,,,,,,,,,,,,,,,,,
29,0.241667,-1007.864929,324.241547,1566.948486,-1143.475708,1206.64502,1777.002686,-1306.858887,305.038971,1609.653442,-1131.593384,1195.506348,1508.279907,,,,,,,,,,,,,,,,,,,
30,0.25,-1007.866638,324.239258,1566.882202,-1143.507935,1206.650024,1776.828857,-1306.868286,305.02832,1609.641357,-1131.823242,1195.491455,1508.165405,,,,,,,,,,,,,,,,,,,
31,0.258333,-1007.868408,324.236481,1566.815552,-1143.540283,1206.655029,1776.648315,-1306.877686,305.017426,1609.629639,-1132.057129,1195.475952,1508.048462,,,,,,,,,,,,,,,,,,,
32,0.266667,-1007.870544,324.233276,1566.748901,-1143.57251,1206.659912,1776.460083,-1306.886475,305.006226,1609.620239,-1132.295288,1195.459839,1507.929565,,,,,,,,,,,,,,,,,,,
33,0.275,-1007.872803,324.229706,1566.682861,-1143.604248,1206.664429,1776.263794,-1306.893555,304.995056,1609.614624,-1132.537109,1195.442871,1507.809204,,,,,,,,,,,,,,,,,,,
34,0.283333,-1007.875183,324.226044,1566.617554,-1143.635986,1206.669067,1776.059326,-1306.89856,304.984467,1609.614258,-1132.783081,1195.425049,1507.687256,,,,,,,,,,,,,,,,,,,
35,0.291667,-1007.877808,324.222534,1566.553955,-1143.667603,1206.674072,1775.846191,-1306.901001,304.975342,1609.620239,-1133.032959,1195.40625,1507.563721,,,,,,,,,,,,,,,,,,,
36,0.3,-1007.880432,324.219391,1566.492065,-1143.699341,1206.680176,1775.624634,-1306.900269,304.968079,1609.633667,-1133.287109,1195.386108,1507.438477,,,,,,,,,,,,,,,,,,,
37,0.308333,-1007.883179,324.216675,1566.432251,-1143.731201,1206.687988,1775.394775,-1306.896729,304.962311,1609.654175,-1133.546143,1195.36438,1507.311157,,,,,,,,,,,,,,,,,,,
38,0.316667,-1007.886047,324.214539,1566.375,-1143.763672,1206.69812,1775.157471,-1306.891846,304.957336,1609.679565,-1133.810913,1195.340698,1507.181641,,,,,,,,,,,,,,,,,,,
39,0.325,-1007.88916,324.213074,1566.320679,-1143.796753,1206.710815,1774.913208,-1306.887085,304.952728,1609.707642,-1134.082642,1195.315063,1507.049927,,,,,,,,,,,,,,,,,,,
40,0.333333,-1007.892395,324.212219,1566.269043,-1143.830688,1206.726563,1774.663086,-1306.882935,304.948303,1609.73645,-1134.362183,1195.286987,1506.915649,,,,,,,,,,,,,,,,,,,
41,0.341667,-1007.895813,324.211945,1566.220337,-1143.865234,1206.745728,1774.407959,-1306.880249,304.943848,1609.765015,-1134.650635,1195.256714,1506.778931,,,,,,,,,,,,,,,,,,,
42,0.35,-1007.899414,324.212219,1566.174194,-1143.900269,1206.768311,1774.149292,-1306.878784,304.939301,1609.79248,-1134.947876,1195.223755,1506.640137,,,,,,,,,,,,,,,,,,,
43,0.358333,-1007.90332,324.212891,1566.130249,-1143.935547,1206.794312,1773.887817,-1306.87854,304.934601,1609.818237,-1135.254028,1195.188232,1506.499512,,,,,,,,,,,,,,,,,,,
44,0.366667,-1007.90741,324.213837,1566.088501,-1143.970703,1206.82373,1773.624512,-1306.879761,304.929565,1609.841675,-1135.567993,1195.14978,1506.35791,,,,,,,,,,,,,,,,,,,
45,0.375,-1007.911804,324.215027,1566.048218,-1144.005737,1206.856201,1773.360229,-1306.88208,304.924103,1609.862427,-1135.88916,1195.108032,1506.216064,,,,,,,,,,,,,,,,,,,
46,0.383333,-1007.916443,324.216339,1566.008911,-1144.040405,1206.891602,1773.095215,-1306.88562,304.918121,1609.880615,-1136.216553,1195.062744,1506.074341,,,,,,,,,,,,,,,,,,,
47,0.391667,-1007.92157,324.217621,1565.969849,-1144.074951,1206.929443,1772.8302,-1306.890381,304.911499,1609.895752,-1136.549194,1195.013794,1505.932861,,,,,,,,,,,,,,,,,,,
48,0.4,-1007.926697,324.218781,1565.93042,-1144.108887,1206.969238,1772.565308,-1306.896606,304.904327,1609.907959,-1136.887085,1194.961182,1505.791016,,,,,,,,,,,,,,,,,,,
49,0.408333,-1007.932068,324.219696,1565.889771,-1144.142334,1207.010864,1772.301025,-1306.904053,304.896729,1609.917358,-1137.229492,1194.905518,1505.648071,,,,,,,,,,,,,,,,,,,
50,0.416667,-1007.937561,324.220276,1565.847412,-1144.175293,1207.053589,1772.037476,-1306.913208,304.888855,1609.924072,-1137.576294,1194.847534,1505.502563,,,,,,,,,,,,,,,,,,,
51,0.425,-1007.942932,324.220428,1565.80249,-1144.207275,1207.096924,1771.775024,-1306.924194,304.880737,1609.927979,-1137.927856,1194.788086,1505.353271,,,,,,,,,,,,,,,,,,,
52,0.433333,-1007.948608,324.220032,1565.754517,-1144.237793,1207.140381,1771.513672,-1306.93689,304.872528,1609.929565,-1138.284058,1194.728394,1505.198608,,,,,,,,,,,,,,,,,,,
53,0.441667,-1007.954468,324.219116,1565.702881,-1144.266357,1207.183105,1771.254028,-1306.95105,304.864258,1609.928955,-1138.644897,1194.669434,1505.037964,,,,,,,,,,,,,,,,,,,
54,0.45,-1007.960815,324.21759,1565.647339,-1144.29248,1207.224731,1770.99646,-1306.966553,304.855865,1609.92688,-1139.010132,1194.612793,1504.871094,,,,,,,,,,,,,,,,,,,
55,0.458333,-1007.967712,324.215332,1565.587769,-1144.31543,1207.264526,1770.741089,-1306.982422,304.84726,1609.924438,-1139.37854,1194.55896,1504.698853,,,,,,,,,,,,,,,,,,,
56,0.466667,-1007.97522,324.21228,1565.523804,-1144.335083,1207.302002,1770.488403,-1306.997559,304.838196,1609.923584,-1139.749146,1194.508911,1504.522217,,,,,,,,,,,,,,,,,,,
57,0.475,-1007.983582,324.208374,1565.455444,-1144.350708,1207.33667,1770.238159,-1307.010742,304.828461,1609.926025,-1140.121094,1194.462891,1504.34314,,,,,,,,,,,,,,,,,,,
58,0.483333,-1007.992737,324.203583,1565.382813,-1144.362183,1207.368286,1769.990479,-1307.021484,304.817993,1609.932251,-1140.493042,1194.421021,1504.164063,,,,,,,,,,,,,,,,,,,
59,0.491667,-1008.002747,324.197815,1565.305786,-1144.369141,1207.396362,1769.745239,-1307.030029,304.806915,1609.941895,-1140.864502,1194.383179,1503.986938,,,,,,,,,,,,,,,,,,,
60,0.5,-1008.013977,324.191101,1565.224731,-1144.371338,1207.421021,1769.502319,-1307.036743,304.795349,1609.953369,-1141.235474,1194.349365,1503.813232,,,,,,,,,,,,,,,,,,,
61,0.508333,-1008.026245,324.18338,1565.139526,-1144.368652,1207.442017,1769.261597,-1307.042114,304.783539,1609.96582,-1141.605957,1194.319824,1503.644165,,,,,,,,,,,,,,,,,,,
62,0.516667,-1008.039612,324.174835,1565.050659,-1144.36084,1207.459229,1769.023315,-1307.046387,304.771637,1609.978149,-1141.976318,1194.294678,1503.479858,,,,,,,,,,,,,,,,,,,
63,0.525,-1008.05365,324.165527,1564.958008,-1144.348267,1207.472412,1768.78772,-1307.049561,304.759583,1609.989868,-1142.347168,1194.27417,1503.320679,,,,,,,,,,,,,,,,,,,
64,0.533333,-1008.06842,324.15564,1564.862305,-1144.330688,1207.481689,1768.555298,-1307.051392,304.747375,1610.00061,-1142.719116,1194.258545,1503.166382,,,,,,,,,,,,,,,,,,,
65,0.541667,-1008.083557,324.145294,1564.763672,-1144.308716,1207.486938,1768.326782,-1307.05188,304.734863,1610.009888,-1143.092896,1194.247925,1503.017212,,,,,,,,,,,,,,,,,,,
66,0.55,-1008.098938,324.134613,1564.662842,-1144.282227,1207.488037,1768.102661,-1307.051147,304.721954,1610.017578,-1143.468872,1194.24231,1502.872803,,,,,,,,,,,,,,,,,,,
67,0.558333,-1008.114441,324.123779,1564.560181,-1144.251709,1207.484985,1767.883667,-1307.049683,304.70871,1610.022827,-1143.847168,1194.241577,1502.733765,,,,,,,,,,,,,,,,,,,
