Format Version,1.22,Take Name,Turn  right  180 CMT 2019-04-17 09.31.11 AM_031,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-17 09.44.18.371 上午,Total Frames in Take,1392,Total Exported Frames,1392,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Trunk Front,Trunk Front,Trunk Front,RTip,RTip,RTip,LTip,LTip,LTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3960,C3960,C3960,C3970,C3970,C3970,C3980,C3980,C3980,C3B20,C3B20,C3B20,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
24,0.2,1277.859497,1216.119629,1637.879639,1104.813843,402.613281,1532.707764,1414.688599,376.001953,1482.543579,1251.958496,1186.299072,1387.986816,,,,,,,,,,,,,,,,,,,
25,0.208333,1277.849243,1216.124634,1637.909058,1104.814819,402.581085,1532.761963,1414.662231,376.015747,1482.575928,1251.973511,1186.266235,1388.028931,,,,,,,,,,,,,,,,,,,
26,0.216667,1277.83606,1216.130127,1637.937256,1104.815308,402.543884,1532.816284,1414.634277,376.028656,1482.610718,1251.982666,1186.230957,1388.07019,,,,,,,,,,,,,,,,,,,
27,0.225,1277.819946,1216.135986,1637.9646,1104.815918,402.498169,1532.873047,1414.605713,376.040771,1482.648071,1251.986206,1186.192749,1388.110352,,,,,,,,,,,,,,,,,,,
28,0.233333,1277.800781,1216.14209,1637.990967,1104.817871,402.440399,1532.936279,1414.577881,376.052063,1482.686523,1251.984985,1186.151855,1388.148193,,,,,,,,,,,,,,,,,,,
29,0.241667,1277.778442,1216.148438,1638.015381,1104.821411,402.365845,1533.010864,1414.552002,376.062195,1482.724731,1251.97998,1186.108521,1388.182617,,,,,,,,,,,,,,,,,,,
30,0.25,1277.753418,1216.154541,1638.036743,1104.824219,402.288971,1533.087646,1414.529053,376.070435,1482.762207,1251.97168,1186.062988,1388.213013,,,,,,,,,,,,,,,,,,,
31,0.258333,1277.72583,1216.161255,1638.054565,1104.823364,402.22403,1533.157227,1414.509521,376.076813,1482.798828,1251.960693,1186.015625,1388.240234,,,,,,,,,,,,,,,,,,,
32,0.266667,1277.695068,1216.168213,1638.068604,1104.82019,402.164642,1533.225464,1414.493408,376.081726,1482.835571,1251.946899,1185.967041,1388.265137,,,,,,,,,,,,,,,,,,,
33,0.275,1277.661621,1216.175049,1638.078369,1104.814087,402.113068,1533.289063,1414.479614,376.084625,1482.874268,1251.931641,1185.917847,1388.28772,,,,,,,,,,,,,,,,,,,
