Format Version,1.22,Take Name,Turn right 90 ws 2019-04-15 08.05.32 PM_017,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 08.10.11.072 下午,Total Frames in Take,827,Total Exported Frames,827,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C90F0,C90F0,C90F0,C9110,C9110,C9110,C9120,C9120,C9120,C9160,C9160,C9160,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
0,0,1418.271362,316.85849,1513.671875,1290.286377,1205.988403,1639.128296,1118.43335,307.990204,1540.626831,1322.35437,1197.736938,1378.429688,,,,,,,,,,,,,,,,,,,
1,0.008333,1418.328491,316.830109,1513.005859,1290.481323,1206.05957,1639.364624,1118.465332,307.981079,1540.523438,1322.348755,1197.756714,1378.696777,,,,,,,,,,,,,,,,,,,
2,0.016667,1418.386841,316.801849,1512.331665,1290.67395,1206.130127,1639.598755,1118.497925,307.970276,1540.419312,1322.345093,1197.776733,1378.962891,,,,,,,,,,,,,,,,,,,
3,0.025,1418.447388,316.773956,1511.641113,1290.862061,1206.199829,1639.828979,1118.532227,307.956116,1540.314331,1322.345581,1197.796997,1379.226685,,,,,,,,,,,,,,,,,,,
4,0.033333,1418.511108,316.746826,1510.92688,1291.043579,1206.268555,1640.053833,1118.568237,307.936859,1540.207764,1322.351929,1197.817627,1379.487183,,,,,,,,,,,,,,,,,,,
5,0.041667,1418.578979,316.720764,1510.182495,1291.216675,1206.336304,1640.272217,1118.605835,307.910522,1540.098877,1322.365967,1197.838501,1379.74292,,,,,,,,,,,,,,,,,,,
6,0.05,1418.651245,316.69577,1509.40271,1291.379639,1206.403076,1640.483643,1118.644775,307.875275,1539.986694,1322.389282,1197.859131,1379.993286,,,,,,,,,,,,,,,,,,,
7,0.058333,1418.728149,316.671448,1508.584106,1291.531006,1206.469238,1640.687378,1118.684082,307.829285,1539.870117,1322.422974,1197.878784,1380.237671,,,,,,,,,,,,,,,,,,,
8,0.066667,1418.810181,316.647034,1507.724609,1291.668945,1206.53479,1640.883545,1118.723145,307.770813,1539.748047,1322.467896,1197.896606,1380.475586,,,,,,,,,,,,,,,,,,,
9,0.075,1418.897461,316.621552,1506.823486,1291.792236,1206.598999,1641.072144,1118.761353,307.698608,1539.619629,1322.524902,1197.911377,1380.706787,,,,,,,,,,,,,,,,,,,
10,0.083333,1418.990601,316.594116,1505.882446,1291.900146,1206.661621,1641.253418,1118.798096,307.612518,1539.484741,1322.593872,1197.921753,1380.93103,,,,,,,,,,,,,,,,,,,
11,0.091667,1419.089355,316.563843,1504.904907,1291.991943,1206.72229,1641.427734,1118.833252,307.514313,1539.344727,1322.674927,1197.92627,1381.148193,,,,,,,,,,,,,,,,,,,
12,0.1,1419.193237,316.529968,1503.896606,1292.067383,1206.780151,1641.595215,1118.866211,307.40918,1539.204224,1322.767578,1197.923828,1381.358765,,,,,,,,,,,,,,,,,,,
13,0.108333,1419.302246,316.492188,1502.865723,1292.126831,1206.835205,1641.756226,1118.896362,307.306396,1539.070679,1322.871826,1197.91333,1381.562988,,,,,,,,,,,,,,,,,,,
14,0.116667,1419.415771,316.450562,1501.822998,1292.171021,1206.886353,1641.911133,1118.923462,307.217804,1538.953735,1322.987061,1197.894043,1381.761353,,,,,,,,,,,,,,,,,,,
15,0.125,1419.533325,316.405304,1500.781616,1292.201294,1206.933594,1642.060425,1118.946777,307.153107,1538.861938,1323.112915,1197.865967,1381.953979,,,,,,,,,,,,,,,,,,,
16,0.133333,1419.654297,316.356781,1499.757202,1292.218994,1206.976318,1642.204224,1118.966553,307.118103,1538.800659,1323.248901,1197.829346,1382.140869,,,,,,,,,,,,,,,,,,,
17,0.141667,1419.77771,316.305481,1498.766968,1292.22644,1207.013916,1642.342529,1118.982788,307.115356,1538.773193,1323.393799,1197.78479,1382.320923,,,,,,,,,,,,,,,,,,,
18,0.15,1419.902344,316.251862,1497.829346,1292.225464,1207.046509,1642.475464,1118.995605,307.144928,1538.780273,1323.546753,1197.734009,1382.49292,,,,,,,,,,,,,,,,,,,
19,0.158333,1420.026367,316.196625,1496.962524,1292.218506,1207.073608,1642.602295,1119.005371,307.204559,1538.820313,1323.706055,1197.678589,1382.654419,,,,,,,,,,,,,,,,,,,
20,0.166667,1420.148315,316.140656,1496.182983,1292.20752,1207.095215,1642.722656,1119.012695,307.288513,1538.88916,1323.869995,1197.621094,1382.803345,,,,,,,,,,,,,,,,,,,
21,0.175,1420.266357,316.085266,1495.504517,1292.194946,1207.111816,1642.835449,1119.018677,307.387299,1538.97876,1324.036499,1197.563843,1382.936401,,,,,,,,,,,,,,,,,,,
22,0.183333,1420.378418,316.03183,1494.936035,1292.183105,1207.123657,1642.939941,1119.02478,307.489227,1539.079346,1324.203857,1197.509766,1383.050659,,,,,,,,,,,,,,,,,,,
23,0.191667,1420.483032,315.981567,1494.481201,1292.174316,1207.131226,1643.03479,1119.032349,307.584961,1539.181763,1324.369751,1197.460938,1383.143066,,,,,,,,,,,,,,,,,,,
24,0.2,1420.578979,315.935455,1494.137817,1292.170288,1207.135498,1643.118896,1119.042969,307.669281,1539.279663,1324.532349,1197.419312,1383.21106,,,,,,,,,,,,,,,,,,,
25,0.208333,1420.665527,315.894135,1493.898071,1292.172729,1207.136719,1643.19104,1119.057495,307.73999,1539.368774,1324.690063,1197.385864,1383.252441,,,,,,,,,,,,,,,,,,,
26,0.216667,1420.74231,315.857666,1493.749756,1292.18335,1207.135986,1643.25061,1119.076904,307.796783,1539.445679,1324.841553,1197.361206,1383.266357,,,,,,,,,,,,,,,,,,,
27,0.225,1420.80957,315.825867,1493.677734,1292.202881,1207.133545,1643.297119,1119.101318,307.840027,1539.50769,1324.98584,1197.344971,1383.253052,,,,,,,,,,,,,,,,,,,
28,0.233333,1420.868286,315.798096,1493.665405,1292.231445,1207.129883,1643.330444,1119.130493,307.870575,1539.552734,1325.122437,1197.336182,1383.214111,,,,,,,,,,,,,,,,,,,
29,0.241667,1420.919067,315.773407,1493.696899,1292.269409,1207.125,1643.35083,1119.164063,307.889282,1539.578735,1325.251831,1197.333496,1383.151978,,,,,,,,,,,,,,,,,,,
30,0.25,1420.963135,315.750793,1493.757813,1292.315918,1207.119263,1643.359009,1119.20105,307.896973,1539.584595,1325.374634,1197.334961,1383.070801,,,,,,,,,,,,,,,,,,,
31,0.258333,1421.002197,315.72937,1493.837036,1292.370117,1207.112671,1643.355835,1119.23999,307.89444,1539.569214,1325.492432,1197.338745,1382.975586,,,,,,,,,,,,,,,,,,,
32,0.266667,1421.036987,315.708435,1493.926636,1292.430908,1207.105347,1643.342407,1119.279541,307.882416,1539.532593,1325.607056,1197.342896,1382.871826,,,,,,,,,,,,,,,,,,,
33,0.275,1421.068726,315.687439,1494.022217,1292.496582,1207.097534,1643.319824,1119.317993,307.861908,1539.475708,1325.720947,1197.345825,1382.765381,,,,,,,,,,,,,,,,,,,
34,0.283333,1421.098022,315.665924,1494.12207,1292.565796,1207.0896,1643.289307,1119.354248,307.834412,1539.401123,1325.836548,1197.346191,1382.661743,,,,,,,,,,,,,,,,,,,
35,0.291667,1421.125122,315.643494,1494.22644,1292.637207,1207.081665,1643.252319,1119.386963,307.802765,1539.313232,1325.956177,1197.343262,1382.565063,,,,,,,,,,,,,,,,,,,
36,0.3,1421.150269,315.619904,1494.336792,1292.709229,1207.074463,1643.209839,1119.415161,307.771912,1539.21814,1326.081421,1197.336426,1382.478516,,,,,,,,,,,,,,,,,,,
37,0.308333,1421.173706,315.595062,1494.455688,1292.780518,1207.068115,1643.162964,1119.437988,307.749298,1539.124512,1326.212891,1197.325562,1382.40332,,,,,,,,,,,,,,,,,,,
38,0.316667,1421.19519,315.569031,1494.585205,1292.850098,1207.062988,1643.112549,1119.454834,307.741272,1539.039551,1326.349976,1197.310791,1382.339722,,,,,,,,,,,,,,,,,,,
39,0.325,1421.214722,315.542145,1494.727051,1292.916992,1207.059204,1643.059326,1119.466431,307.748199,1538.966797,1326.491577,1197.292114,1382.2854,,,,,,,,,,,,,,,,,,,
40,0.333333,1421.231934,315.51474,1494.88269,1292.980591,1207.057007,1643.003906,1119.473511,307.76416,1538.904663,1326.635498,1197.269775,1382.237061,,,,,,,,,,,,,,,,,,,
41,0.341667,1421.246826,315.487518,1495.05249,1293.040405,1207.056519,1642.946655,1119.477661,307.78241,1538.85083,1326.779541,1197.244263,1382.19104,,,,,,,,,,,,,,,,,,,
42,0.35,1421.258667,315.461151,1495.235596,1293.096191,1207.057617,1642.887573,1119.480347,307.798431,1538.803467,1326.921753,1197.216064,1382.142944,,,,,,,,,,,,,,,,,,,
43,0.358333,1421.266846,315.436401,1495.430542,1293.148071,1207.060547,1642.827148,1119.48291,307.81012,1538.762207,1327.060303,1197.185547,1382.089233,,,,,,,,,,,,,,,,,,,
44,0.366667,1421.270508,315.413818,1495.634766,1293.195923,1207.065063,1642.765381,1119.486328,307.816803,1538.72644,1327.194214,1197.153442,1382.027466,,,,,,,,,,,,,,,,,,,
45,0.375,1421.269409,315.394104,1495.845703,1293.240112,1207.071167,1642.702515,1119.491211,307.818695,1538.695679,1327.322388,1197.120483,1381.956055,,,,,,,,,,,,,,,,,,,
46,0.383333,1421.262817,315.377686,1496.060425,1293.280518,1207.078735,1642.638428,1119.497681,307.816406,1538.669434,1327.444336,1197.086914,1381.874878,,,,,,,,,,,,,,,,,,,
47,0.391667,1421.250732,315.365143,1496.276733,1293.317505,1207.087402,1642.57373,1119.505493,307.810791,1538.647583,1327.559937,1197.053589,1381.784424,,,,,,,,,,,,,,,,,,,
48,0.4,1421.23291,315.356934,1496.493164,1293.351563,1207.097046,1642.508545,1119.514282,307.802612,1538.629272,1327.669678,1197.020508,1381.686035,,,,,,,,,,,,,,,,,,,
49,0.408333,1421.210083,315.353424,1496.708862,1293.38269,1207.107422,1642.443359,1119.522705,307.792542,1538.614746,1327.773682,1196.988159,1381.581421,,,,,,,,,,,,,,,,,,,
50,0.416667,1421.182495,315.354492,1496.922974,1293.411133,1207.118286,1642.378418,1119.529907,307.781158,1538.60376,1327.872803,1196.956299,1381.47229,,,,,,,,,,,,,,,,,,,
51,0.425,1421.151001,315.35965,1497.135254,1293.437256,1207.129272,1642.314331,1119.535278,307.768707,1538.596069,1327.967285,1196.925049,1381.360107,,,,,,,,,,,,,,,,,,,
52,0.433333,1421.116211,315.368073,1497.345825,1293.46106,1207.140015,1642.251221,1119.537842,307.755432,1538.591675,1328.057739,1196.894409,1381.246094,,,,,,,,,,,,,,,,,,,
53,0.441667,1421.079102,315.378784,1497.555054,1293.482666,1207.150391,1642.189697,1119.537109,307.741425,1538.590454,1328.144531,1196.864502,1381.13147,,,,,,,,,,,,,,,,,,,
54,0.45,1421.040283,315.390778,1497.763184,1293.501831,1207.160278,1642.130127,1119.532959,307.726807,1538.592407,1328.227905,1196.834961,1381.017578,,,,,,,,,,,,,,,,,,,
55,0.458333,1421.00061,315.403198,1497.970459,1293.518677,1207.169434,1642.072876,1119.525391,307.711639,1538.5979,1328.307861,1196.80603,1380.905151,,,,,,,,,,,,,,,,,,,
56,0.466667,1420.960938,315.415436,1498.17688,1293.532959,1207.177734,1642.018311,1119.514893,307.696136,1538.607056,1328.384399,1196.777588,1380.795166,,,,,,,,,,,,,,,,,,,
57,0.475,1420.921997,315.427124,1498.38208,1293.544556,1207.185425,1641.966919,1119.501953,307.680542,1538.619507,1328.457642,1196.749634,1380.688599,,,,,,,,,,,,,,,,,,,
58,0.483333,1420.884766,315.437958,1498.585449,1293.553223,1207.192383,1641.919067,1119.487427,307.664917,1538.635742,1328.527466,1196.722534,1380.586182,,,,,,,,,,,,,,,,,,,
59,0.491667,1420.849121,315.447906,1498.786377,1293.559082,1207.19873,1641.875,1119.472168,307.649475,1538.65564,1328.594116,1196.695923,1380.489014,,,,,,,,,,,,,,,,,,,
60,0.5,1420.81543,315.456879,1498.983887,1293.562012,1207.204468,1641.835205,1119.456787,307.634186,1538.679321,1328.657471,1196.670288,1380.398193,,,,,,,,,,,,,,,,,,,
61,0.508333,1420.783936,315.465149,1499.177246,1293.562256,1207.209595,1641.800049,1119.442017,307.61908,1538.706421,1328.71814,1196.645752,1380.314331,,,,,,,,,,,,,,,,,,,
62,0.516667,1420.754517,315.473145,1499.365845,1293.559937,1207.213867,1641.769531,1119.427979,307.604248,1538.736816,1328.776489,1196.622437,1380.238525,,,,,,,,,,,,,,,,,,,
63,0.525,1420.727173,315.481262,1499.549194,1293.554932,1207.217163,1641.744019,1119.415039,307.5896,1538.769775,1328.832642,1196.600952,1380.171265,,,,,,,,,,,,,,,,,,,
64,0.533333,1420.701782,315.489868,1499.726929,1293.547729,1207.219482,1641.723633,1119.403198,307.575226,1538.804688,1328.886963,1196.581421,1380.113037,,,,,,,,,,,,,,,,,,,
65,0.541667,1420.678345,315.499176,1499.898438,1293.538696,1207.220703,1641.70874,1119.392578,307.561218,1538.841187,1328.939941,1196.563965,1380.064087,,,,,,,,,,,,,,,,,,,
66,0.55,1420.65686,315.509308,1500.063721,1293.528076,1207.220703,1641.699463,1119.382813,307.547668,1538.87854,1328.991821,1196.549194,1380.02478,,,,,,,,,,,,,,,,,,,
67,0.558333,1420.637695,315.52002,1500.222534,1293.516235,1207.219482,1641.695923,1119.373901,307.534668,1538.91687,1329.04248,1196.536987,1379.994751,,,,,,,,,,,,,,,,,,,
68,0.566667,1420.621094,315.530914,1500.374756,1293.503784,1207.217285,1641.698486,1119.365356,307.522247,1538.956055,1329.092407,1196.527832,1379.973755,,,,,,,,,,,,,,,,,,,
69,0.575,1420.606812,315.541565,1500.52063,1293.490967,1207.214233,1641.707397,1119.3573,307.510437,1538.99646,1329.141602,1196.521484,1379.96106,,,,,,,,,,,,,,,,,,,
70,0.583333,1420.595337,315.551453,1500.659912,1293.478271,1207.210571,1641.7229,1119.349731,307.499237,1539.038208,1329.19043,1196.518311,1379.955811,,,,,,,,,,,,,,,,,,,
71,0.591667,1420.586426,315.560303,1500.793091,1293.46582,1207.206421,1641.745117,1119.342651,307.488586,1539.081543,1329.23877,1196.518066,1379.957275,,,,,,,,,,,,,,,,,,,
72,0.6,1420.580322,315.56781,1500.920044,1293.453857,1207.201782,1641.773926,1119.336426,307.478577,1539.126587,1329.286743,1196.52063,1379.964844,,,,,,,,,,,,,,,,,,,
73,0.608333,1420.576538,315.573883,1501.040527,1293.442261,1207.197021,1641.809692,1119.330688,307.469177,1539.173584,1329.334229,1196.526001,1379.977783,,,,,,,,,,,,,,,,,,,
74,0.616667,1420.575317,315.578491,1501.154297,1293.430908,1207.192017,1641.852051,1119.325684,307.460419,1539.222656,1329.381226,1196.533813,1379.99585,,,,,,,,,,,,,,,,,,,
75,0.625,1420.57605,315.581696,1501.260986,1293.419434,1207.186646,1641.900879,1119.321533,307.45224,1539.273438,1329.42749,1196.543823,1380.018555,,,,,,,,,,,,,,,,,,,
76,0.633333,1420.578735,315.583649,1501.360596,1293.407837,1207.181152,1641.955811,1119.318237,307.444519,1539.32605,1329.473022,1196.555786,1380.046265,,,,,,,,,,,,,,,,,,,
77,0.641667,1420.583008,315.584442,1501.453247,1293.395142,1207.174927,1642.016724,1119.315552,307.437164,1539.380493,1329.517822,1196.569336,1380.078613,,,,,,,,,,,,,,,,,,,
78,0.65,1420.588623,315.58429,1501.539307,1293.381226,1207.167969,1642.083374,1119.313232,307.429932,1539.43689,1329.562256,1196.584351,1380.116211,,,,,,,,,,,,,,,,,,,
