Format Version,1.22,Take Name,Turn right 90  LJL  2019-04-16 08.04.11 PM_001,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 08.04.32.764 下午,Total Frames in Take,921,Total Exported Frames,921,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3700,C3700,C3700,C3800,C3800,C3800,C3820,C3820,C3820,C38C0,C38C0,C38C0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
24,0.2,1262.334961,1207.480957,1712.951904,1413.835693,316.1651,1539.166138,1096.101074,339.590637,1566.073364,1281.042847,1192.923584,1463.328003,,,,,,,,,,,,,,,,,,,
25,0.208333,1262.552856,1207.508545,1712.932373,1413.875122,316.144562,1539.080811,1096.106812,339.602631,1566.116333,1280.963867,1192.978638,1463.276489,,,,,,,,,,,,,,,,,,,
26,0.216667,1262.759644,1207.535767,1712.911987,1413.912476,316.125824,1538.99292,1096.128296,339.619507,1566.146362,1280.880737,1193.041138,1463.225586,,,,,,,,,,,,,,,,,,,
27,0.225,1262.955322,1207.562866,1712.890991,1413.947998,316.109222,1538.901367,1096.156616,339.637573,1566.167358,1280.792114,1193.109863,1463.177002,,,,,,,,,,,,,,,,,,,
28,0.233333,1263.139648,1207.59021,1712.869751,1413.981201,316.093903,1538.805542,1096.181641,339.65329,1566.181763,1280.697754,1193.183472,1463.131348,,,,,,,,,,,,,,,,,,,
29,0.241667,1263.31189,1207.617432,1712.848755,1414.012695,316.079102,1538.705811,1096.203125,339.666534,1566.189941,1280.597046,1193.26001,1463.088623,,,,,,,,,,,,,,,,,,,
30,0.25,1263.471436,1207.644165,1712.828735,1414.043579,316.065125,1538.603149,1096.221069,339.677643,1566.191895,1280.489624,1193.338379,1463.047974,,,,,,,,,,,,,,,,,,,
31,0.258333,1263.618408,1207.670044,1712.80896,1414.075073,316.05188,1538.498535,1096.235229,339.686432,1566.1875,1280.374634,1193.417847,1463.008667,,,,,,,,,,,,,,,,,,,
32,0.266667,1263.753296,1207.695068,1712.788818,1414.108154,316.038605,1538.39209,1096.245728,339.692535,1566.177246,1280.251831,1193.497803,1462.970581,,,,,,,,,,,,,,,,,,,
33,0.275,1263.877563,1207.719482,1712.767822,1414.143677,316.024872,1538.284302,1096.252075,339.696167,1566.161377,1280.121826,1193.578247,1462.93396,,,,,,,,,,,,,,,,,,,
34,0.283333,1263.992432,1207.742432,1712.74646,1414.181885,316.01059,1538.175903,1096.253052,339.697693,1566.139771,1279.984863,1193.6604,1462.898682,,,,,,,,,,,,,,,,,,,
35,0.291667,1264.098755,1207.763794,1712.724976,1414.222168,315.996063,1538.067505,1096.248901,339.697266,1566.11377,1279.84082,1193.745361,1462.864746,,,,,,,,,,,,,,,,,,,
36,0.3,1264.197021,1207.783203,1712.702637,1414.263794,315.982391,1537.958984,1096.240723,339.694702,1566.084229,1279.690552,1193.833862,1462.832153,,,,,,,,,,,,,,,,,,,
37,0.308333,1264.286743,1207.800537,1712.677979,1414.306885,315.971344,1537.85022,1096.229126,339.689789,1566.051636,1279.533936,1193.925537,1462.800781,,,,,,,,,,,,,,,,,,,
38,0.316667,1264.367798,1207.814819,1712.648682,1414.349854,315.963165,1537.740601,1096.214355,339.683044,1566.016113,1279.37146,1194.020264,1462.770874,,,,,,,,,,,,,,,,,,,
39,0.325,1264.439697,1207.825562,1712.613281,1414.390503,315.956818,1537.629272,1096.196899,339.675262,1565.977661,1279.204102,1194.117798,1462.741821,,,,,,,,,,,,,,,,,,,
40,0.333333,1264.501831,1207.832275,1712.572266,1414.427612,315.951843,1537.516113,1096.177612,339.666534,1565.936279,1279.032837,1194.217896,1462.713013,,,,,,,,,,,,,,,,,,,
41,0.341667,1264.552979,1207.835693,1712.526733,1414.460693,315.948608,1537.401367,1096.157104,339.656677,1565.893066,1278.857666,1194.320068,1462.683716,,,,,,,,,,,,,,,,,,,
42,0.35,1264.592407,1207.836548,1712.477783,1414.488892,315.946716,1537.285034,1096.135376,339.645416,1565.848511,1278.678711,1194.423462,1462.652344,,,,,,,,,,,,,,,,,,,
