Format Version,1.22,Take Name,Turn left 90 RHG 2019-04-15 07.37.09 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 07.37.36.955 下午,Total Frames in Take,798,Total Exported Frames,798,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C8370,C8370,C8370,C8380,C8380,C8380,C83F0,C83F0,C83F0,C8440,C8440,C8440,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
23,0.191667,-986.402039,354.606354,1297.840332,-1307.545166,336.972321,1329.777344,-1156.596191,1292.656006,1479.925781,-1149.863403,1285.394287,1241.321289,,,,,,,,,,,,,,,,,,,
24,0.2,-986.344788,354.603241,1298.133789,-1307.493286,336.995056,1329.956665,-1156.493408,1292.673828,1480.122681,-1149.799194,1285.344849,1241.524048,,,,,,,,,,,,,,,,,,,
25,0.208333,-986.286987,354.600128,1298.399292,-1307.44043,337.016937,1330.123413,-1156.392212,1292.68811,1480.320801,-1149.729736,1285.302002,1241.726318,,,,,,,,,,,,,,,,,,,
26,0.216667,-986.228943,354.597595,1298.634399,-1307.386475,337.038361,1330.277954,-1156.293091,1292.699097,1480.519897,-1149.654541,1285.265869,1241.928467,,,,,,,,,,,,,,,,,,,
27,0.225,-986.171021,354.595825,1298.838257,-1307.332275,337.059723,1330.420532,-1156.196167,1292.706909,1480.720093,-1149.572876,1285.235962,1242.130981,,,,,,,,,,,,,,,,,,,
28,0.233333,-986.113647,354.594849,1299.01062,-1307.27832,337.081207,1330.551514,-1156.101196,1292.711792,1480.921265,-1149.484253,1285.212036,1242.334351,,,,,,,,,,,,,,,,,,,
29,0.241667,-986.057495,354.59433,1299.152588,-1307.225098,337.102875,1330.671387,-1156.008301,1292.713745,1481.123413,-1149.388428,1285.194214,1242.538574,,,,,,,,,,,,,,,,,,,
30,0.25,-986.003296,354.593842,1299.265869,-1307.17334,337.124634,1330.780762,-1155.91687,1292.712891,1481.326782,-1149.2854,1285.182495,1242.743164,,,,,,,,,,,,,,,,,,,
31,0.258333,-985.951416,354.593048,1299.352539,-1307.123413,337.146454,1330.880737,-1155.826416,1292.709351,1481.531128,-1149.175537,1285.17749,1242.947144,,,,,,,,,,,,,,,,,,,
32,0.266667,-985.902527,354.591675,1299.415405,-1307.075562,337.168182,1330.972778,-1155.73645,1292.703003,1481.735962,-1149.059082,1285.179565,1243.149658,,,,,,,,,,,,,,,,,,,
33,0.275,-985.857239,354.589508,1299.457031,-1307.029907,337.189728,1331.057983,-1155.645874,1292.69397,1481.940796,-1148.936523,1285.189209,1243.349854,,,,,,,,,,,,,,,,,,,
34,0.283333,-985.815674,354.586456,1299.480957,-1306.98645,337.211029,1331.137939,-1155.553467,1292.682251,1482.144897,-1148.808594,1285.206299,1243.547485,,,,,,,,,,,,,,,,,,,
