Format Version,1.22,Take Name,Walk straight ZY 2019-04-17 09.31.11 AM_043,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-17 09.59.03.441 上午,Total Frames in Take,390,Total Exported Frames,390,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3EF0,C3EF0,C3EF0,C3F30,C3F30,C3F30,C3F40,C3F40,C3F40,C3FD0,C3FD0,C3FD0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
30,0.25,-125.461891,354.943878,66.469261,6.001025,1150.490234,237.338089,139.928741,367.25,101.715805,31.473148,1108.62915,-0.910159,,,,,,,,,,,,,,,,,,,
31,0.258333,-125.469017,354.938629,66.410416,5.918114,1150.501221,237.33255,139.91124,367.229889,101.69619,31.375099,1108.629028,-0.91312,,,,,,,,,,,,,,,,,,,
32,0.266667,-125.478447,354.932892,66.360695,5.841979,1150.513306,237.320404,139.892578,367.21463,101.671921,31.275522,1108.625,-0.921125,,,,,,,,,,,,,,,,,,,
33,0.275,-125.490936,354.928253,66.321815,5.773141,1150.527344,237.301819,139.875763,367.21347,101.641594,31.175314,1108.61731,-0.93403,,,,,,,,,,,,,,,,,,,
34,0.283333,-125.507309,354.924591,66.29483,5.712331,1150.543579,237.277878,139.8573,367.214264,101.606377,31.07456,1108.605713,-0.951143,,,,,,,,,,,,,,,,,,,
35,0.291667,-125.528351,354.922424,66.28083,5.660222,1150.5625,237.25029,139.838547,367.21759,101.567574,30.97324,1108.590332,-0.97202,,,,,,,,,,,,,,,,,,,
36,0.3,-125.554291,354.922394,66.280365,5.617218,1150.585205,237.219803,139.824402,367.235809,101.525391,30.871655,1108.571533,-0.996677,,,,,,,,,,,,,,,,,,,
37,0.308333,-125.584763,354.92337,66.292435,5.58354,1150.611206,237.18602,139.811707,367.25824,101.481323,30.769953,1108.549194,-1.024443,,,,,,,,,,,,,,,,,,,
38,0.316667,-125.618698,354.923096,66.315201,5.559204,1150.639893,237.148254,139.796799,367.27359,101.436417,30.668207,1108.52417,-1.054555,,,,,,,,,,,,,,,,,,,
39,0.325,-125.654877,354.920959,66.346817,5.544824,1150.671143,237.105728,139.779449,367.281799,101.39064,30.566442,1108.497314,-1.087424,,,,,,,,,,,,,,,,,,,
