Format Version,1.22,Take Name,Walk straight forward LJL 2019-04-16 07.49.43 PM_001,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 07.51.30.094 下午,Total Frames in Take,1048,Total Exported Frames,1048,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,CA050,CA050,CA050,CA180,CA180,CA180,CA460,CA460,CA460,CA480,CA480,CA480,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
30,0.25,-160.725174,333.629608,80.502342,155.444336,315.625732,44.022259,4.155663,1200.493652,228.06041,-0.825856,1198.435181,-19.787661,,,,,,,,,,,,,,,,,,,
31,0.258333,-160.76152,333.613251,80.342712,155.410034,315.594391,43.668396,4.217544,1200.509399,227.613815,-0.923701,1198.488159,-20.314686,,,,,,,,,,,,,,,,,,,
32,0.266667,-160.797913,333.600159,80.182098,155.375687,315.564941,43.3209,4.270856,1200.521362,227.193481,-1.017195,1198.554688,-20.820244,,,,,,,,,,,,,,,,,,,
33,0.275,-160.833984,333.589172,80.020561,155.341125,315.537994,42.983112,4.315448,1200.529785,226.798553,-1.105359,1198.634399,-21.303637,,,,,,,,,,,,,,,,,,,
34,0.283333,-160.869232,333.579865,79.858238,155.306091,315.514069,42.658073,4.351508,1200.535034,226.428177,-1.186954,1198.726929,-21.764166,,,,,,,,,,,,,,,,,,,
35,0.291667,-160.903061,333.572205,79.695389,155.27066,315.493622,42.348698,4.379348,1200.537231,226.081543,-1.260502,1198.831299,-22.201286,,,,,,,,,,,,,,,,,,,
36,0.3,-160.934845,333.566254,79.532417,155.235199,315.477112,42.057693,4.399259,1200.536011,225.757904,-1.324386,1198.946655,-22.614798,,,,,,,,,,,,,,,,,,,
37,0.308333,-160.963913,333.56189,79.369911,155.200165,315.464691,41.787228,4.411458,1200.531128,225.456528,-1.376908,1199.071411,-23.005056,,,,,,,,,,,,,,,,,,,
38,0.316667,-160.989716,333.55899,79.208717,155.165909,315.456238,41.538536,4.416071,1200.522583,225.176727,-1.416307,1199.204224,-23.373032,,,,,,,,,,,,,,,,,,,
39,0.325,-161.011963,333.557129,79.049858,155.132538,315.450867,41.311771,4.413155,1200.51001,224.917801,-1.44085,1199.343384,-23.720137,,,,,,,,,,,,,,,,,,,
40,0.333333,-161.030533,333.555908,78.89444,155.100113,315.447601,41.106213,4.402763,1200.493652,224.679001,-1.449092,1199.487061,-24.047968,,,,,,,,,,,,,,,,,,,
41,0.341667,-161.045547,333.554871,78.743584,155.068756,315.445251,40.920631,4.385033,1200.473877,224.459473,-1.440158,1199.632935,-24.358061,,,,,,,,,,,,,,,,,,,
42,0.35,-161.057419,333.553619,78.598328,155.038879,315.442841,40.753635,4.360229,1200.45105,224.258286,-1.413899,1199.778809,-24.651653,,,,,,,,,,,,,,,,,,,
43,0.358333,-161.066666,333.551971,78.459541,155.011169,315.439697,40.604,4.32874,1200.425537,224.074615,-1.370854,1199.922363,-24.929499,,,,,,,,,,,,,,,,,,,
44,0.366667,-161.07399,333.549927,78.327805,154.986572,315.435516,40.470783,4.291088,1200.398071,223.907776,-1.312107,1200.061768,-25.19178,,,,,,,,,,,,,,,,,,,
45,0.375,-161.079987,333.547607,78.203415,154.965988,315.430298,40.353367,4.247971,1200.369873,223.757187,-1.239092,1200.195557,-25.438116,,,,,,,,,,,,,,,,,,,
46,0.383333,-161.085175,333.54538,78.086342,154.949997,315.423981,40.251392,4.200281,1200.341431,223.622498,-1.153396,1200.322021,-25.667633,,,,,,,,,,,,,,,,,,,
47,0.391667,-161.089844,333.543488,77.976357,154.938828,315.41684,40.16473,4.149037,1200.313965,223.503342,-1.056558,1200.440063,-25.879068,,,,,,,,,,,,,,,,,,,
48,0.4,-161.094086,333.542145,77.873177,154.932434,315.408997,40.093441,4.095279,1200.287842,223.399368,-0.949914,1200.548828,-26.070953,,,,,,,,,,,,,,,,,,,
49,0.408333,-161.097885,333.541687,77.776642,154.930511,315.400787,40.037659,4.039982,1200.263794,223.31015,-0.834547,1200.647095,-26.24184,,,,,,,,,,,,,,,,,,,
50,0.416667,-161.101044,333.542419,77.68676,154.932663,315.392365,39.997456,3.983994,1200.242065,223.235153,-0.711303,1200.734375,-26.390518,,,,,,,,,,,,,,,,,,,
51,0.425,-161.103302,333.544434,77.603745,154.938278,315.383972,39.972694,3.927984,1200.223022,223.173767,-0.580909,1200.810303,-26.516115,,,,,,,,,,,,,,,,,,,
52,0.433333,-161.104355,333.547913,77.528015,154.946671,315.375671,39.962936,3.87243,1200.206177,223.12529,-0.444128,1200.874634,-26.618143,,,,,,,,,,,,,,,,,,,
53,0.441667,-161.10376,333.552734,77.460144,154.957062,315.367523,39.967407,3.817662,1200.191406,223.089096,-0.301905,1200.92749,-26.696507,,,,,,,,,,,,,,,,,,,
54,0.45,-161.101135,333.558716,77.400688,154.96875,315.359467,39.985062,3.763939,1200.178345,223.064682,-0.15539,1200.968872,-26.751472,,,,,,,,,,,,,,,,,,,
55,0.458333,-161.096207,333.56543,77.350075,154.981201,315.351471,40.014671,3.711544,1200.166504,223.051727,-0.005859,1200.999023,-26.783588,,,,,,,,,,,,,,,,,,,
56,0.466667,-161.088913,333.572754,77.308495,154.993958,315.343384,40.054928,3.660854,1200.155273,223.050217,0.145398,1201.018188,-26.793627,,,,,,,,,,,,,,,,,,,
57,0.475,-161.079376,333.580383,77.275887,155.006668,315.335114,40.104496,3.61237,1200.144409,223.06041,0.297136,1201.026855,-26.782457,,,,,,,,,,,,,,,,,,,
