Format Version,1.22,Take Name,Turn  left  90 CMT 2019-04-17 09.31.11 AM_018,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-17 09.39.46.013 上午,Total Frames in Take,1074,Total Exported Frames,1074,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Trunk Front,Trunk Front,Trunk Front,RTip,RTip,RTip,LTip,LTip,LTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3960,C3960,C3960,C3970,C3970,C3970,C3980,C3980,C3980,C3B20,C3B20,C3B20,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
23,0.191667,-1131.717529,1212.504883,1729.955811,-1290.928711,399.314667,1596.003418,-997.770569,374.372986,1549.465576,-1148.151978,1182.357788,1477.39917,,,,,,,,,,,,,,,,,,,
24,0.2,-1131.677246,1212.567017,1729.782104,-1290.936523,399.329224,1595.986694,-997.714722,374.33786,1549.452881,-1147.967285,1182.305054,1477.221558,,,,,,,,,,,,,,,,,,,
25,0.208333,-1131.650391,1212.632202,1729.592651,-1290.950439,399.344849,1595.953491,-997.660583,374.302582,1549.436768,-1147.775879,1182.258423,1477.02771,,,,,,,,,,,,,,,,,,,
26,0.216667,-1131.635986,1212.700195,1729.387573,-1290.970581,399.361481,1595.903809,-997.607727,374.267181,1549.416626,-1147.578491,1182.217529,1476.817627,,,,,,,,,,,,,,,,,,,
27,0.225,-1131.632568,1212.771362,1729.166626,-1290.996826,399.378784,1595.838135,-997.555298,374.231628,1549.391846,-1147.376099,1182.182373,1476.591797,,,,,,,,,,,,,,,,,,,
28,0.233333,-1131.638794,1212.845093,1728.93042,-1291.029053,399.396332,1595.758057,-997.503113,374.196198,1549.361206,-1147.169312,1182.152954,1476.351074,,,,,,,,,,,,,,,,,,,
29,0.241667,-1131.653198,1212.921387,1728.679565,-1291.067383,399.413635,1595.665039,-997.450867,374.161041,1549.323364,-1146.959229,1182.12915,1476.096191,,,,,,,,,,,,,,,,,,,
30,0.25,-1131.674561,1212.999756,1728.414917,-1291.111572,399.430145,1595.560425,-997.399109,374.126465,1549.277344,-1146.74646,1182.111084,1475.828125,,,,,,,,,,,,,,,,,,,
31,0.258333,-1131.70166,1213.079712,1728.137207,-1291.161255,399.445221,1595.446411,-997.348511,374.092682,1549.22229,-1146.53186,1182.098755,1475.547852,,,,,,,,,,,,,,,,,,,
32,0.266667,-1131.733887,1213.160889,1727.8479,-1291.216431,399.458191,1595.324585,-997.300293,374.059753,1549.157593,-1146.315796,1182.092773,1475.255859,,,,,,,,,,,,,,,,,,,
