Format Version,1.22,Take Name,walk straight forwar RHG 2019-04-15 07.33.32 PM_003,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 07.36.30.074 下午,Total Frames in Take,899,Total Exported Frames,899,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C8370,C8370,C8370,C8380,C8380,C8380,C83F0,C83F0,C83F0,C8410,C8410,C8410,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
29,0.241667,150.43924,348.414459,-201.632919,-163.237076,331.764709,-167.336105,-4.197989,1291.342773,-21.979853,5.989952,1286.612793,-258.946808,,,,,,,,,,,,,,,,,,,
30,0.25,150.445587,348.410095,-201.611847,-163.22757,331.768707,-167.305664,-4.120168,1291.343994,-21.989979,6.071908,1286.587891,-258.952026,,,,,,,,,,,,,,,,,,,
31,0.258333,150.452942,348.40567,-201.592468,-163.217331,331.773254,-167.277679,-4.044193,1291.344238,-21.998585,6.155815,1286.565063,-258.955719,,,,,,,,,,,,,,,,,,,
32,0.266667,150.461227,348.401093,-201.575165,-163.206406,331.778412,-167.252518,-3.969681,1291.343384,-22.005613,6.24163,1286.543945,-258.957764,,,,,,,,,,,,,,,,,,,
33,0.275,150.470413,348.396576,-201.560074,-163.194763,331.78418,-167.230392,-3.896241,1291.340942,-22.010963,6.329389,1286.524292,-258.958099,,,,,,,,,,,,,,,,,,,
34,0.283333,150.480484,348.392151,-201.547348,-163.182449,331.790558,-167.21138,-3.823518,1291.337402,-22.0145,6.419175,1286.505981,-258.956665,,,,,,,,,,,,,,,,,,,
35,0.291667,150.491333,348.387939,-201.537064,-163.16954,331.797577,-167.195358,-3.751231,1291.332642,-22.016115,6.511047,1286.488647,-258.953583,,,,,,,,,,,,,,,,,,,
36,0.3,150.502792,348.383881,-201.529205,-163.156082,331.805176,-167.182068,-3.679202,1291.327026,-22.015812,6.604967,1286.472656,-258.948975,,,,,,,,,,,,,,,,,,,
37,0.308333,150.514694,348.379913,-201.523743,-163.142151,331.813385,-167.171173,-3.607368,1291.320801,-22.013731,6.700752,1286.458008,-258.943146,,,,,,,,,,,,,,,,,,,
38,0.316667,150.526932,348.376007,-201.520493,-163.127731,331.822144,-167.162292,-3.535728,1291.313965,-22.010113,6.798128,1286.445068,-258.936279,,,,,,,,,,,,,,,,,,,
39,0.325,150.539368,348.372101,-201.519257,-163.112823,331.83139,-167.15506,-3.464286,1291.306885,-22.005228,6.896804,1286.433838,-258.92868,,,,,,,,,,,,,,,,,,,
40,0.333333,150.551941,348.368195,-201.519791,-163.097305,331.841034,-167.149216,-3.393044,1291.299072,-21.999374,6.996497,1286.424561,-258.920532,,,,,,,,,,,,,,,,,,,
41,0.341667,150.564575,348.364319,-201.521896,-163.081085,331.850952,-167.144669,-3.322026,1291.291016,-21.992865,7.096929,1286.417358,-258.911896,,,,,,,,,,,,,,,,,,,
42,0.35,150.577179,348.360504,-201.525436,-163.063965,331.861023,-167.141479,-3.251274,1291.282471,-21.98595,7.197787,1286.412231,-258.902863,,,,,,,,,,,,,,,,,,,
43,0.358333,150.58963,348.35675,-201.530304,-163.045792,331.871216,-167.139771,-3.180854,1291.273193,-21.978748,7.298696,1286.409058,-258.893433,,,,,,,,,,,,,,,,,,,
44,0.366667,150.601883,348.352997,-201.536469,-163.026428,331.881378,-167.139679,-3.110855,1291.263428,-21.97126,7.399236,1286.407471,-258.883484,,,,,,,,,,,,,,,,,,,
45,0.375,150.613846,348.349091,-201.543823,-163.005707,331.891449,-167.141342,-3.041368,1291.252808,-21.963423,7.498987,1286.407471,-258.872772,,,,,,,,,,,,,,,,,,,
46,0.383333,150.625473,348.34494,-201.552292,-162.983643,331.901337,-167.144791,-2.972427,1291.241577,-21.955124,7.597565,1286.408325,-258.861176,,,,,,,,,,,,,,,,,,,
47,0.391667,150.636749,348.340393,-201.561707,-162.960266,331.910889,-167.149948,-2.904008,1291.229248,-21.946198,7.694661,1286.409912,-258.84848,,,,,,,,,,,,,,,,,,,
48,0.4,150.647736,348.335358,-201.571869,-162.935776,331.919983,-167.156616,-2.83605,1291.216187,-21.93648,7.790032,1286.411621,-258.834564,,,,,,,,,,,,,,,,,,,
49,0.408333,150.658554,348.329895,-201.582504,-162.910477,331.928528,-167.16449,-2.76844,1291.202271,-21.925838,7.883494,1286.413574,-258.819489,,,,,,,,,,,,,,,,,,,
50,0.416667,150.669403,348.324066,-201.593307,-162.884827,331.936432,-167.173096,-2.70102,1291.1875,-21.914227,7.974895,1286.415527,-258.803314,,,,,,,,,,,,,,,,,,,
51,0.425,150.68042,348.317963,-201.603912,-162.859299,331.943695,-167.181976,-2.633654,1291.171997,-21.901709,8.064087,1286.417358,-258.786255,,,,,,,,,,,,,,,,,,,
52,0.433333,150.691681,348.311646,-201.61409,-162.834412,331.950439,-167.190811,-2.566266,1291.15564,-21.88843,8.150915,1286.419189,-258.768524,,,,,,,,,,,,,,,,,,,
53,0.441667,150.703156,348.305206,-201.623596,-162.810532,331.956787,-167.199402,-2.498842,1291.138672,-21.874586,8.235252,1286.420776,-258.750244,,,,,,,,,,,,,,,,,,,
54,0.45,150.714767,348.298645,-201.632217,-162.78801,331.96283,-167.207809,-2.431427,1291.121216,-21.860359,8.317,1286.422363,-258.731384,,,,,,,,,,,,,,,,,,,
55,0.458333,150.726379,348.292084,-201.639847,-162.766968,331.96875,-167.216278,-2.364121,1291.10376,-21.845842,8.396049,1286.423828,-258.711975,,,,,,,,,,,,,,,,,,,
56,0.466667,150.737869,348.285553,-201.646408,-162.747406,331.97464,-167.225052,-2.297025,1291.086426,-21.830975,8.472228,1286.424927,-258.691803,,,,,,,,,,,,,,,,,,,
57,0.475,150.749161,348.279144,-201.651794,-162.729187,331.98056,-167.234406,-2.230148,1291.069458,-21.815521,8.545316,1286.425659,-258.670685,,,,,,,,,,,,,,,,,,,
58,0.483333,150.760254,348.273041,-201.655869,-162.712067,331.986542,-167.244614,-2.163398,1291.053467,-21.799135,8.615054,1286.426392,-258.648163,,,,,,,,,,,,,,,,,,,
59,0.491667,150.771072,348.267212,-201.658432,-162.69577,331.992645,-167.255844,-2.096657,1291.03833,-21.781452,8.681196,1286.42688,-258.623749,,,,,,,,,,,,,,,,,,,
60,0.5,150.78154,348.261597,-201.659332,-162.679993,331.998932,-167.268234,-2.029891,1291.02417,-21.76219,8.743615,1286.427124,-258.596985,,,,,,,,,,,,,,,,,,,
61,0.508333,150.79155,348.256104,-201.658508,-162.66449,332.005493,-167.281754,-1.963234,1291.010864,-21.741228,8.802444,1286.427002,-258.567535,,,,,,,,,,,,,,,,,,,
62,0.516667,150.801086,348.25058,-201.655914,-162.649048,332.01239,-167.296295,-1.897038,1290.998413,-21.71862,8.85813,1286.426514,-258.5354,,,,,,,,,,,,,,,,,,,
63,0.525,150.810318,348.244812,-201.651627,-162.633499,332.019562,-167.311676,-1.831874,1290.986572,-21.694599,8.911411,1286.425293,-258.500946,,,,,,,,,,,,,,,,,,,
64,0.533333,150.81955,348.2388,-201.645859,-162.617584,332.026855,-167.327576,-1.768492,1290.975098,-21.669563,8.963181,1286.423462,-258.464783,,,,,,,,,,,,,,,,,,,
65,0.541667,150.829147,348.232361,-201.638916,-162.601059,332.034058,-167.343597,-1.707732,1290.963745,-21.644016,9.014367,1286.420288,-258.427765,,,,,,,,,,,,,,,,,,,
66,0.55,150.839478,348.225342,-201.63118,-162.583694,332.040802,-167.359253,-1.650388,1290.952515,-21.618498,9.065863,1286.416016,-258.390839,,,,,,,,,,,,,,,,,,,
67,0.558333,150.8508,348.217651,-201.622925,-162.565399,332.047028,-167.374008,-1.59708,1290.941162,-21.593489,9.118485,1286.410156,-258.354797,,,,,,,,,,,,,,,,,,,
68,0.566667,150.863403,348.209167,-201.614426,-162.546173,332.052551,-167.387482,-1.54818,1290.929443,-21.56937,9.172921,1286.402832,-258.320313,,,,,,,,,,,,,,,,,,,
69,0.575,150.877487,348.200073,-201.60582,-162.526154,332.057373,-167.399307,-1.503716,1290.917358,-21.54644,9.229674,1286.394043,-258.287811,,,,,,,,,,,,,,,,,,,
