Format Version,1.22,Take Name,Walk straight forward  HJ 2019-04-12 04.00.40 PM_020,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-12 04.11.55.902 下午,Total Frames in Take,743,Total Exported Frames,743,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,Trunk Back,Trunk Back,Trunk Back,RTip,RTip,RTip,,,,,,,,,,,,,,,,,,,
,,CEED0,CEED0,CEED0,CEEE0,CEEE0,CEEE0,CEF20,CEF20,CEF20,CF030,CF030,CF030,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
30,0.25,22.322151,1311.92334,240.139114,179.577545,362.149445,68.532631,15.627619,1292.194092,-31.657726,-162.906372,359.441376,70.871063,,,,,,,,,,,,,,,,,,,
31,0.258333,22.395399,1311.8927,240.114502,179.909988,362.047577,68.497864,16.03006,1292.181396,-31.651873,-162.833344,359.419037,71.340889,,,,,,,,,,,,,,,,,,,
32,0.266667,22.460987,1311.857422,240.105743,180.230499,361.949799,68.45047,16.420425,1292.175781,-31.632788,-162.762009,359.396576,71.807007,,,,,,,,,,,,,,,,,,,
33,0.275,22.518951,1311.817627,240.11348,180.536957,361.856537,68.39328,16.797972,1292.177368,-31.600315,-162.692566,359.374481,72.26651,,,,,,,,,,,,,,,,,,,
34,0.283333,22.569355,1311.77356,240.138168,180.827103,361.768188,68.329292,17.162258,1292.186279,-31.554148,-162.625305,359.353149,72.716797,,,,,,,,,,,,,,,,,,,
35,0.291667,22.61227,1311.725464,240.180191,181.098358,361.685059,68.261345,17.51322,1292.202759,-31.493876,-162.560623,359.332764,73.155365,,,,,,,,,,,,,,,,,,,
36,0.3,22.647739,1311.673706,240.239822,181.348007,361.607697,68.192009,17.850965,1292.226807,-31.419086,-162.498596,359.313354,73.579689,,,,,,,,,,,,,,,,,,,
37,0.308333,22.675734,1311.618774,240.31723,181.573364,361.536621,68.123299,18.175484,1292.259033,-31.329456,-162.439102,359.294739,73.987045,,,,,,,,,,,,,,,,,,,
38,0.316667,22.696098,1311.561157,240.41243,181.771973,361.472717,68.056587,18.486385,1292.299683,-31.224798,-162.381882,359.276764,74.374481,,,,,,,,,,,,,,,,,,,
39,0.325,22.708523,1311.500977,240.525391,181.942062,361.416901,67.992569,18.78286,1292.349365,-31.105114,-162.326645,359.259338,74.73896,,,,,,,,,,,,,,,,,,,
