Format Version,1.22,Take Name,Turn left 90 ws 2019-04-15 08.05.32 PM_005,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 08.06.45.904 下午,Total Frames in Take,1038,Total Exported Frames,1038,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C90F0,C90F0,C90F0,C9110,C9110,C9110,C9120,C9120,C9120,C9160,C9160,C9160,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
23,0.191667,-1017.825745,325.308136,1477.115356,-1159.039917,1203.287476,1702.331299,-1308.67981,304.592712,1526.945679,-1136.945068,1195.263062,1437.304321,,,,,,,,,,,,,,,,,,,
24,0.2,-1017.841553,325.322296,1477.117432,-1159.111328,1203.269287,1702.319702,-1308.710327,304.582092,1526.961304,-1137.07019,1195.284302,1437.293701,,,,,,,,,,,,,,,,,,,
25,0.208333,-1017.851379,325.33609,1477.122192,-1159.180054,1203.249634,1702.303101,-1308.73938,304.570313,1526.975464,-1137.193115,1195.303589,1437.277954,,,,,,,,,,,,,,,,,,,
26,0.216667,-1017.855042,325.349701,1477.129761,-1159.245972,1203.229248,1702.281006,-1308.76709,304.557617,1526.988159,-1137.313599,1195.320923,1437.257935,,,,,,,,,,,,,,,,,,,
27,0.225,-1017.852539,325.363251,1477.140015,-1159.30896,1203.208862,1702.253784,-1308.793091,304.54425,1526.999268,-1137.431641,1195.33667,1437.234009,,,,,,,,,,,,,,,,,,,
28,0.233333,-1017.844543,325.376678,1477.153076,-1159.368652,1203.188599,1702.221924,-1308.817261,304.530457,1527.008911,-1137.546997,1195.351196,1437.206909,,,,,,,,,,,,,,,,,,,
29,0.241667,-1017.832031,325.389709,1477.168457,-1159.425171,1203.169312,1702.185181,-1308.839355,304.516388,1527.016846,-1137.65979,1195.364868,1437.17688,,,,,,,,,,,,,,,,,,,
30,0.25,-1017.81604,325.40213,1477.185669,-1159.478027,1203.151611,1702.143921,-1308.859131,304.502197,1527.02356,-1137.769775,1195.377563,1437.144653,,,,,,,,,,,,,,,,,,,
31,0.258333,-1017.797607,325.413818,1477.204468,-1159.527466,1203.135376,1702.098389,-1308.876587,304.488007,1527.028687,-1137.877197,1195.389648,1437.110718,,,,,,,,,,,,,,,,,,,
32,0.266667,-1017.777771,325.424377,1477.223877,-1159.57312,1203.121094,1702.048828,-1308.891602,304.473907,1527.032349,-1137.981567,1195.401367,1437.075317,,,,,,,,,,,,,,,,,,,
33,0.275,-1017.75885,325.432892,1477.243774,-1159.615112,1203.108643,1701.995605,-1308.904297,304.459961,1527.034546,-1138.08252,1195.412476,1437.03894,,,,,,,,,,,,,,,,,,,
34,0.283333,-1017.742615,325.438477,1477.26355,-1159.653687,1203.0979,1701.938965,-1308.914673,304.446228,1527.035156,-1138.17981,1195.423462,1437.001465,,,,,,,,,,,,,,,,,,,
35,0.291667,-1017.730225,325.440491,1477.282959,-1159.688477,1203.088623,1701.879272,-1308.922729,304.432739,1527.034302,-1138.272949,1195.434204,1436.962769,,,,,,,,,,,,,,,,,,,
36,0.3,-1017.722351,325.438721,1477.301758,-1159.719971,1203.080566,1701.81665,-1308.929077,304.419617,1527.031738,-1138.361816,1195.44458,1436.922485,,,,,,,,,,,,,,,,,,,
37,0.308333,-1017.719177,325.432953,1477.319458,-1159.747803,1203.072876,1701.751465,-1308.933472,304.40686,1527.027954,-1138.445923,1195.454712,1436.880127,,,,,,,,,,,,,,,,,,,
38,0.316667,-1017.720581,325.423126,1477.336304,-1159.772217,1203.065552,1701.68396,-1308.936401,304.394409,1527.022583,-1138.525513,1195.464478,1436.835327,,,,,,,,,,,,,,,,,,,
39,0.325,-1017.726318,325.409271,1477.351929,-1159.793213,1203.057861,1701.61438,-1308.937988,304.382324,1527.016113,-1138.600098,1195.473877,1436.787476,,,,,,,,,,,,,,,,,,,
40,0.333333,-1017.73584,325.391418,1477.366089,-1159.810669,1203.049683,1701.542969,-1308.938354,304.370453,1527.008667,-1138.670044,1195.48291,1436.736206,,,,,,,,,,,,,,,,,,,
41,0.341667,-1017.748474,325.369904,1477.378906,-1159.824463,1203.040405,1701.469849,-1308.937744,304.358734,1527.000366,-1138.735474,1195.491821,1436.680908,,,,,,,,,,,,,,,,,,,
42,0.35,-1017.762878,325.345367,1477.389893,-1159.834473,1203.030029,1701.395386,-1308.936035,304.347046,1526.991455,-1138.796387,1195.500488,1436.62146,,,,,,,,,,,,,,,,,,,
43,0.358333,-1017.7771,325.318817,1477.39917,-1159.840576,1203.018433,1701.319702,-1308.933105,304.33548,1526.9823,-1138.852783,1195.508911,1436.557373,,,,,,,,,,,,,,,,,,,
44,0.366667,-1017.789001,325.291321,1477.406006,-1159.842773,1203.005615,1701.243164,-1308.928955,304.324127,1526.972534,-1138.905151,1195.5177,1436.489014,,,,,,,,,,,,,,,,,,,
45,0.375,-1017.797241,325.263763,1477.410522,-1159.84082,1202.991943,1701.165771,-1308.92334,304.31308,1526.96228,-1138.953491,1195.526489,1436.416016,,,,,,,,,,,,,,,,,,,
46,0.383333,-1017.800598,325.236847,1477.412598,-1159.834839,1202.977783,1701.087891,-1308.91626,304.302643,1526.95105,-1138.998047,1195.535889,1436.338745,,,,,,,,,,,,,,,,,,,
47,0.391667,-1017.799255,325.210815,1477.411865,-1159.824829,1202.963379,1701.01001,-1308.907349,304.292877,1526.939209,-1139.039185,1195.545776,1436.257324,,,,,,,,,,,,,,,,,,,
48,0.4,-1017.794983,325.185028,1477.408936,-1159.811035,1202.949463,1700.932251,-1308.896606,304.283875,1526.926147,-1139.076904,1195.556396,1436.172241,,,,,,,,,,,,,,,,,,,
49,0.408333,-1017.790222,325.1586,1477.403687,-1159.793335,1202.936401,1700.85498,-1308.884033,304.275726,1526.912476,-1139.111694,1195.567993,1436.083862,,,,,,,,,,,,,,,,,,,
50,0.416667,-1017.786865,325.130951,1477.396606,-1159.772217,1202.924683,1700.778442,-1308.869385,304.268494,1526.897949,-1139.143433,1195.580566,1435.99292,,,,,,,,,,,,,,,,,,,
51,0.425,-1017.786255,325.101746,1477.387939,-1159.748047,1202.914673,1700.702881,-1308.852905,304.262177,1526.882813,-1139.172241,1195.594238,1435.900269,,,,,,,,,,,,,,,,,,,
52,0.433333,-1017.789612,325.070801,1477.377808,-1159.720947,1202.906616,1700.628296,-1308.834717,304.257019,1526.867065,-1139.19812,1195.609131,1435.806274,,,,,,,,,,,,,,,,,,,
53,0.441667,-1017.797241,325.038269,1477.366333,-1159.69104,1202.900513,1700.554565,-1308.814941,304.253052,1526.850586,-1139.220825,1195.625122,1435.712036,,,,,,,,,,,,,,,,,,,
54,0.45,-1017.808105,325.004944,1477.353638,-1159.65918,1202.896606,1700.482056,-1308.794312,304.250488,1526.833374,-1139.240479,1195.642334,1435.618164,,,,,,,,,,,,,,,,,,,
55,0.458333,-1017.819763,324.972168,1477.339966,-1159.625122,1202.894897,1700.410156,-1308.772461,304.249329,1526.81543,-1139.257202,1195.660889,1435.525391,,,,,,,,,,,,,,,,,,,
56,0.466667,-1017.830017,324.94104,1477.325439,-1159.589355,1202.895142,1700.338989,-1308.75,304.249542,1526.796631,-1139.270508,1195.680298,1435.434204,,,,,,,,,,,,,,,,,,,
